106/10/24,8.15,8.16,8.15,8.16,200,1631,-0.02,2
106/10/25,8.18,8.18,8.18,8.18,100,818,0.02,1
106/10/26,8.14,8.14,8.14,8.14,100,814,-0.04,1
106/10/27,8.16,8.16,8.16,8.16,100,816,0.02,1
106/10/30,8.20,8.20,8.20,8.20,200,1640,0.04,1
106/10/31,--,--,--,--,0,0,0.00,0
106/11/01,8.32,8.32,8.32,8.32,500,4160,0.00,1
106/11/02,--,--,--,--,0,0,0.00,0
106/11/03,8.21,8.21,8.21,8.21,100,821,0.00,1
106/11/06,--,--,--,--,0,0,0.00,0
106/11/07,--,--,--,--,0,0,0.00,0
106/11/08,--,--,--,--,0,0,0.00,0
106/11/09,--,--,--,--,0,0,0.00,0
106/11/10,8.19,8.19,8.18,8.18,2300,18817,0.00,5
106/11/13,8.19,8.19,8.18,8.18,81100,663409,0.00,4
106/11/14,8.19,8.19,8.18,8.18,80100,655219,0.00,3
106/11/15,8.16,8.16,8.16,8.16,80000,652800,-0.02,2
106/11/16,8.12,8.15,8.12,8.15,98800,802556,-0.01,22
106/11/17,8.19,8.19,8.19,8.19,80000,655200,0.04,2
106/11/20,8.14,8.14,8.14,8.14,80100,652014,-0.05,3
106/11/21,8.19,8.19,8.19,8.19,80000,655200,0.05,2
106/11/22,8.24,8.24,8.24,8.24,80000,659200,0.05,2
106/11/23,8.22,8.22,8.22,8.22,80000,657600,-0.02,2
106/11/24,8.22,8.22,8.22,8.22,80000,657600,0.00,2
106/11/27,8.23,8.23,8.23,8.23,80000,658400,0.01,2
106/11/28,8.21,8.21,8.21,8.21,80000,656800,-0.02,2
106/11/29,8.31,8.31,8.31,8.31,80000,664800,0.10,2
106/11/30,8.34,8.37,8.34,8.37,80200,669671,0.06,4
106/12/01,8.46,8.46,8.46,8.46,80000,676800,0.09,2
106/12/04,8.48,8.48,8.48,8.48,80000,678400,0.02,2
106/12/05,8.49,8.49,8.49,8.49,80000,679200,0.01,2
106/12/06,8.43,8.43,8.43,8.43,120000,1011600,-0.06,4
106/12/07,8.42,8.42,8.42,8.42,120000,1010400,-0.01,4
106/12/08,8.45,8.45,8.45,8.45,120000,1014000,0.03,4
106/12/11,8.48,8.49,8.48,8.49,120100,1019648,0.04,5
106/12/12,8.50,8.50,8.50,8.50,120000,1020000,0.01,4
106/12/13,8.55,8.55,8.55,8.55,120000,1026000,0.05,4
106/12/14,8.59,8.59,8.59,8.59,120000,1030800,0.04,4
106/12/15,8.56,8.56,8.56,8.56,120000,1027200,-0.03,4
106/12/18,8.62,8.63,8.62,8.63,123300,1064046,0.07,5
106/12/19,8.66,8.66,8.66,8.66,120000,1039200,0.03,4
106/12/20,8.65,8.66,8.64,8.64,141000,1218700,-0.02,17
106/12/21,8.63,8.63,8.63,8.63,148000,1277240,-0.01,9
106/12/22,8.67,8.68,8.63,8.68,142000,1231860,0.05,6
106/12/25,8.64,8.64,8.64,8.64,120000,1036800,-0.04,4
106/12/26,8.64,8.64,8.63,8.63,160000,1381000,-0.01,8
106/12/27,8.63,8.63,8.63,8.63,150000,1294500,0.00,4
106/12/28,8.64,8.67,8.64,8.67,156000,1348010,0.04,7
106/12/29,8.68,8.68,8.65,8.65,160100,1389665,-0.02,5
107/01/02,8.64,8.64,8.64,8.64,160000,1382400,-0.01,4
107/01/03,8.67,8.67,8.67,8.67,160000,1387200,0.03,4
107/01/04,8.71,8.71,8.71,8.71,160000,1393600,0.04,4
107/01/05,8.77,8.77,8.77,8.77,160000,1403200,0.06,4
107/01/08,8.84,8.84,8.84,8.84,160100,1415284,0.07,5
107/01/09,8.81,8.85,8.81,8.85,150000,1327100,0.01,5
107/01/10,8.84,8.84,8.84,8.84,140100,1238484,-0.01,5
107/01/11,8.85,8.85,8.85,8.85,140000,1239000,0.01,4
107/01/12,8.90,8.93,8.90,8.93,128000,1142800,0.08,9
107/01/15,8.98,8.99,8.98,8.99,180000,1618000,0.06,7
107/01/16,9.02,9.02,9.02,9.02,160000,1443200,0.03,4
107/01/17,8.96,9.01,8.96,9.00,160200,1438800,-0.02,26
