106/01/17,19.88,20.05,19.85,20.05,1124000,22400840,0.12,120
106/01/18,20.15,20.15,20.05,20.05,663000,13337890,,84
106/01/19,19.72,19.74,19.63,19.71,1074000,21155980,-0.34,58
106/01/20,19.53,19.53,19.41,19.43,1081000,21044960,-0.28,61
106/01/23,19.51,19.56,19.44,19.44,203000,3955640,0.01,28
106/01/24,19.72,19.78,19.70,19.76,197000,3891970,0.32,35
106/02/02,19.16,19.23,19.11,19.20,396000,7584070,-0.56,69
106/02/03,19.12,19.12,19.04,19.04,275000,5245730,-0.16,48
106/02/06,19.08,19.08,19.03,19.05,42000,800670,0.01,15
106/02/07,19.31,19.37,19.30,19.36,192000,3711120,0.31,68
106/02/08,19.44,19.55,19.43,19.50,503000,9803550,0.14,35
106/02/09,19.85,19.86,19.84,19.84,327000,6490460,0.34,30
106/02/10,19.53,19.53,19.43,19.47,132000,2569740,-0.37,22
106/02/13,19.45,19.45,19.37,19.41,91000,1766110,-0.06,10
106/02/14,19.31,19.31,19.26,19.29,161000,3104520,-0.12,15
106/02/15,19.07,19.07,19.04,19.05,205000,3908010,-0.24,52
106/02/16,19.03,19.04,18.98,18.99,83000,1577800,-0.06,32
106/02/17,19.12,19.12,19.07,19.07,114000,2174410,0.08,16
106/02/18,19.14,19.22,19.14,19.22,9000,172710,0.15,8
106/02/20,19.28,19.28,19.21,19.23,187000,3594090,0.01,22
106/02/21,19.20,19.20,19.10,19.11,21000,401420,-0.12,11
106/02/22,19.07,19.11,19.07,19.11,6000,114520,,4
106/02/23,19.23,19.25,19.20,19.25,191000,3675450,0.14,19
106/02/24,19.21,19.25,19.20,19.24,252000,4849690,-0.01,12
106/03/01,19.26,19.35,19.21,19.25,443000,8529600,0.01,19
106/03/02,19.05,19.06,18.97,18.98,584000,11101870,-0.27,53
106/03/03,18.96,19.00,18.94,18.98,81000,1535700,,16
106/03/06,19.01,19.02,18.98,19.00,26000,494230,0.02,6
106/03/07,18.80,18.80,18.79,18.80,18000,338310,-0.20,17
106/03/08,18.71,18.71,18.69,18.71,39000,729390,-0.09,22
106/03/09,18.51,18.53,18.41,18.41,73000,1348430,-0.30,36
106/03/10,18.21,18.23,18.15,18.20,35000,636420,-0.21,21
