106/04/25,20.03,20.04,20.00,20.02,4333000,86768250,0.03,376
106/04/26,20.04,20.05,19.93,19.93,2075000,41492860,-0.09,90
106/04/27,19.90,19.90,19.84,19.87,1233000,24484800,-0.06,48
106/04/28,19.84,19.88,19.82,19.88,1275000,25302440,0.01,56
106/05/02,20.05,20.21,20.04,20.19,2086000,42002020,0.31,205
106/05/03,20.10,20.13,20.05,20.08,1437000,28875790,-0.11,65
106/05/04,20.20,20.22,20.18,20.18,1191000,24055670,0.10,64
106/05/05,20.18,20.19,20.13,20.16,2005000,40426250,-0.02,60
106/05/08,20.16,20.16,20.04,20.05,1265000,25399020,-0.11,45
106/05/09,20.02,20.03,19.98,19.98,899000,17979840,-0.07,43
106/05/10,20.18,20.19,20.14,20.15,3291000,66344020,0.17,108
106/05/11,20.10,20.10,19.98,20.04,884000,17713100,-0.11,33
106/05/12,19.98,19.98,19.94,19.95,1052000,20986710,-0.09,46
106/05/15,19.97,19.99,19.96,19.96,865000,17282360,0.01,37
106/05/16,19.98,19.98,19.96,19.96,1002000,20017010,0.00,28
106/05/17,20.17,20.27,20.15,20.27,1996000,40314340,0.31,138
106/05/18,19.98,20.00,19.92,19.98,1017000,20303490,-0.29,68
106/05/19,19.62,19.68,19.60,19.66,1673000,32880480,-0.32,130
106/05/22,19.79,19.85,19.77,19.82,922000,18267690,0.16,62
106/05/23,19.80,19.84,19.76,19.76,1242000,24600040,-0.06,126
106/05/24,19.68,19.70,19.55,19.56,2223000,43603250,-0.20,250
106/05/25,19.64,19.70,19.64,19.70,1590000,31289440,0.14,114
106/05/26,19.49,19.50,19.40,19.40,1193000,23190920,-0.30,229
106/05/31,19.07,19.08,18.97,19.00,1809000,34421780,-0.40,301
106/06/01,19.02,19.07,19.00,19.05,715000,13608610,0.05,80
106/06/02,18.95,19.00,18.90,18.98,1057000,20004330,-0.07,110
106/06/03,19.05,19.20,19.05,19.18,513000,9833750,0.20,90
106/06/05,19.16,19.22,19.14,19.17,1310000,25112040,-0.01,120
106/06/06,19.16,19.16,19.11,19.13,1812000,34662920,-0.04,95
106/06/07,19.28,19.28,19.20,19.27,1003000,19297590,0.14,114
106/06/08,19.41,19.46,19.36,19.42,1349000,26204540,0.15,129
106/06/09,19.48,19.51,19.45,19.47,1291000,25139790,0.05,116
106/06/12,19.52,19.53,19.44,19.46,1110000,21622240,-0.01,93
106/06/13,19.38,19.39,19.35,19.36,847000,16404020,-0.10,100
106/06/14,19.36,19.39,19.35,19.36,1249000,24204040,0.00,84
106/06/15,19.33,19.33,19.27,19.30,1397000,26950890,-0.06,86
106/06/16,19.46,19.57,19.46,19.48,1243500,24282390,0.18,103
106/06/19,19.55,19.73,19.54,19.71,1726000,33896830,0.23,131
106/06/20,19.57,19.57,19.47,19.49,1267000,24726560,-0.22,87
106/06/21,19.36,19.40,19.34,19.36,715000,13847060,-0.13,59
106/06/22,19.11,19.13,19.07,19.11,1413000,26988570,-0.25,142
106/06/23,18.85,18.87,18.83,18.83,1969000,37101440,-0.28,249
106/06/26,18.83,18.90,18.83,18.89,1169000,22070340,0.06,136
106/06/27,18.90,18.93,18.89,18.90,273000,5161370,0.01,66
106/06/28,18.95,18.95,18.89,18.90,658000,12442670,0.00,130
106/06/29,18.97,19.10,18.97,19.09,260000,4952760,0.19,90
106/06/30,19.03,19.07,18.98,19.06,219000,4165320,-0.03,72
106/07/03,19.95,20.00,19.90,19.98,1620000,32331110,0.92,361
106/07/04,20.15,20.17,20.00,20.10,1549000,31162770,0.12,285
106/07/05,20.12,20.14,20.11,20.13,696000,14006760,0.03,105
106/07/06,20.40,20.44,20.24,20.35,1596000,32497660,0.22,257
106/07/07,20.53,20.60,20.52,20.57,803050,16510209,0.22,170
