106/12/15,39.89,40.07,39.89,40.07,621000,24845580,+0.24,100
106/12/18,40.02,40.06,39.98,40.06,693000,27736130,-0.01,132
106/12/19,39.95,40.00,39.95,39.99,638000,25507100,-0.07,94
106/12/20,39.76,39.82,39.55,39.67,964000,38173990,-0.32,94
106/12/21,39.61,39.61,39.22,39.29,504000,19817260,-0.38,50
106/12/22,39.52,39.54,39.45,39.45,650000,25671720,+0.16,50
106/12/25,40.05,40.05,39.43,39.46,501000,19761330,+0.01,49
106/12/26,39.25,39.33,39.25,39.33,500000,19641140,-0.13,48
106/12/27,39.55,39.58,39.55,39.58,500000,19780320,+0.25,46
106/12/28,39.80,39.90,39.80,39.90,501000,19974940,+0.32,49
106/12/29,39.57,39.60,39.57,39.59,501000,19835630,-0.31,49
107/01/02,39.60,39.61,39.58,39.58,500000,19796140,-0.01,48
107/01/03,39.06,39.06,39.00,39.06,503000,19641250,-0.52,51
107/01/04,39.06,39.14,39.06,39.12,501000,19597740,+0.06,51
107/01/05,38.93,38.97,38.93,38.97,500000,19473600,-0.15,50
107/01/08,38.94,38.94,38.78,38.86,509000,19775230,-0.11,55
107/01/09,38.86,38.87,38.84,38.87,502000,19501080,+0.01,46
107/01/10,38.83,38.83,38.60,38.62,502000,19380330,-0.25,44
107/01/11,38.70,38.77,38.70,38.77,505000,19571220,+0.15,42
107/01/12,38.81,38.82,38.81,38.82,300000,11643140,+0.05,24
107/01/15,38.93,39.14,38.87,38.91,574000,22331590,+0.09,49
107/01/16,39.02,39.02,38.87,38.89,503000,19554220,-0.02,37
107/01/17,38.89,38.89,38.86,38.87,500000,19439200,-0.02,34
107/01/18,38.70,38.71,38.58,38.58,505000,19541270,-0.29,38
107/01/19,38.37,38.37,38.17,38.17,503000,19227870,-0.41,37
107/01/22,38.01,38.13,37.86,37.86,517000,19611130,-0.31,43
107/01/23,37.92,38.06,37.92,38.00,503000,19107100,+0.14,37
107/01/24,38.27,38.27,38.19,38.21,507000,19364870,+0.21,37
107/01/25,38.10,38.10,37.91,37.92,501000,18993300,-0.29,33
107/01/26,38.23,38.24,38.23,38.24,500000,19115200,+0.32,32
107/01/29,38.28,38.29,38.09,38.10,601000,22899650,-0.14,36
107/01/30,38.18,38.18,38.05,38.05,506000,19263680,-0.05,35
107/01/31,38.06,38.07,38.04,38.04,500000,19026200,-0.01,26
107/02/01,38.13,38.18,38.13,38.17,505000,19280450,+0.13,28
107/02/02,38.06,38.06,37.98,38.00,508000,19298280,-0.17,33
107/02/05,37.65,37.65,37.54,37.59,525000,19741680,-0.41,37
107/02/06,37.70,37.82,37.70,37.81,504000,19060660,+0.22,30
107/02/07,37.37,37.41,37.24,37.24,877000,32757620,-0.57,168
107/02/08,37.15,37.23,37.15,37.21,501000,18649750,-0.03,27
107/02/09,37.01,37.01,36.91,37.00,601000,22230750,-0.21,17
107/02/12,36.43,36.45,36.43,36.44,600000,21866200,-0.56,9
107/02/21,36.56,36.62,36.52,36.62,620000,22697220,+0.18,12
107/02/22,36.64,36.72,36.56,36.56,375000,13752880,-0.06,13
107/02/23,36.48,36.48,36.41,36.48,493000,17963930,-0.08,24
107/02/26,36.66,36.91,36.66,36.91,927000,34125710,+0.43,29
107/02/27,37.05,37.05,37.03,37.04,301000,11147350,+0.13,5
107/03/01,37.05,37.05,37.02,37.03,302000,11181880,-0.01,6
107/03/02,37.01,37.01,36.99,37.00,304000,11246340,-0.03,8
107/03/05,36.84,36.84,36.80,36.81,301000,11078340,-0.19,5
107/03/06,36.79,36.79,36.67,36.67,1003000,36820360,-0.14,26
107/03/07,36.78,36.81,36.78,36.80,27307000,1008680480,+0.13,11
107/03/08,36.76,36.80,36.75,36.80,450000,16550530,0.00,12
107/03/09,36.91,36.92,36.85,36.85,27325000,1008563220,+0.05,22
107/03/12,36.67,36.68,36.67,36.68,300000,11001600,-0.17,6
107/03/13,36.65,36.70,36.65,36.69,301000,11046050,+0.01,7
107/03/14,36.77,36.78,36.77,36.78,300000,11032000,+0.09,6
107/03/15,36.81,36.85,36.81,36.85,27302000,1008776220,+0.07,8
107/03/16,36.79,36.79,36.72,36.73,301000,11053390,-0.12,7
107/03/19,36.77,36.78,36.77,36.78,300000,11031600,+0.05,6
107/03/20,36.67,36.67,36.61,36.62,306000,11203970,-0.16,8
107/03/21,36.45,36.46,36.45,36.46,300000,10935600,-0.16,6
107/03/22,36.39,36.41,36.39,36.41,309000,11244640,-0.05,10
107/03/23,36.50,36.50,36.45,36.46,27801000,1015822100,+0.05,8
107/03/26,36.17,36.17,36.15,36.16,304000,10990620,-0.30,10
107/03/27,36.28,36.29,36.28,36.29,300000,10885000,+0.13,6
107/03/28,36.55,36.61,36.55,36.61,313000,11455750,+0.32,8
107/03/29,36.77,36.78,36.73,36.77,27803000,1024242330,+0.16,8
107/03/30,37.00,37.01,37.00,37.01,300000,11101200,+0.24,6
107/03/31,36.92,36.93,36.91,36.93,300000,11074800,-0.08,6
107/04/02,36.84,36.85,36.84,36.85,300000,11052600,-0.08,6
107/04/03,37.05,37.06,37.05,37.06,270000,10004100,+0.21,7
107/04/09,37.05,37.05,37.03,37.03,27303000,1007256090,-0.03,8
107/04/10,37.03,37.08,37.03,37.08,27306000,1014934380,+0.05,9
107/04/11,36.98,36.98,36.97,36.97,800000,29577000,-0.11,9
107/04/12,37.15,37.21,37.15,37.21,800000,29738000,+0.24,8
107/04/13,37.12,37.19,37.12,37.19,310000,11526200,-0.02,7
107/04/16,37.15,37.15,37.15,37.15,300000,11145000,-0.04,6
107/04/17,37.27,37.35,37.27,37.35,1530000,57140400,+0.20,33
107/04/18,37.24,37.27,37.24,37.27,302000,11253480,-0.08,17
107/04/19,36.96,36.96,36.93,36.94,301000,11116160,,17
107/04/20,36.61,36.61,36.48,36.49,301000,10981610,-0.45,17
107/04/23,36.50,36.51,36.50,36.51,314000,11462020,+0.02,15
107/04/24,36.52,36.64,36.52,36.62,320000,11715200,+0.11,10
107/04/25,36.45,36.46,36.45,36.46,300000,10936400,-0.16,8
107/04/26,36.43,36.43,36.36,36.37,301000,10945030,-0.09,9
107/04/27,36.40,36.41,36.40,36.41,300000,10920600,+0.04,8
107/04/30,36.62,36.62,36.46,36.47,301000,10975220,+0.06,9
107/05/02,36.36,36.45,36.36,36.45,270000,9833800,-0.02,11
107/05/03,36.60,36.60,36.49,36.50,201000,7335600,+0.05,5
107/05/04,36.49,36.49,36.45,36.46,201000,7327490,-0.04,5
107/05/07,36.41,36.55,36.41,36.55,27703000,1008962440,+0.09,8
107/05/08,36.62,36.63,36.60,36.61,27763000,1013653680,+0.06,10
107/05/09,36.73,36.74,36.73,36.74,201000,7383730,+0.13,5
107/05/10,36.66,36.70,36.62,36.65,223000,8168250,-0.09,9
107/05/11,36.74,36.81,36.64,36.73,424000,15559920,+0.08,15
107/05/14,36.79,36.79,36.76,36.77,251000,9228790,+0.04,6
107/05/15,36.65,36.71,36.65,36.66,234000,8585630,-0.11,11
107/05/16,36.47,36.52,36.36,36.52,283000,10295900,-0.14,21
107/05/17,36.40,36.42,36.30,36.34,608000,22078600,-0.18,29
107/05/18,36.26,36.26,36.23,36.24,201000,7283260,-0.10,5
107/05/21,36.45,36.53,36.39,36.50,282000,10283270,+0.26,12
107/05/22,36.46,36.48,36.37,36.41,205000,7461090,-0.09,9
107/05/23,36.30,36.42,36.30,36.40,233000,8477410,-0.01,10
107/05/24,36.47,36.48,36.47,36.48,201000,7331470,+0.08,5
107/05/25,36.62,36.62,36.56,36.56,203000,7432740,+0.08,6
107/05/28,36.77,36.77,36.74,36.75,201000,7385770,+0.19,5
107/05/29,36.83,36.83,36.82,36.83,201000,7401830,+0.08,5
107/05/30,37.02,37.02,36.84,36.93,283000,10444740,+0.10,15
107/05/31,36.68,36.74,36.65,36.70,253000,9276120,-0.23,10
107/06/01,36.92,36.92,36.82,36.85,207000,7623020,+0.15,7
107/06/04,36.56,36.61,36.50,36.61,282000,10297370,-0.24,10
107/06/05,36.42,36.45,36.40,36.45,202000,7353870,-0.16,6
107/06/06,36.52,36.52,36.42,36.45,204000,7430950,0.00,8
107/06/07,36.18,36.20,36.09,36.18,205000,7415720,-0.27,9
107/06/08,36.43,36.50,36.43,36.50,101000,3686430,+0.32,3
107/06/11,36.48,36.48,36.41,36.42,1701000,61799480,-0.08,6
107/06/12,36.34,36.37,36.34,36.35,202000,7341710,-0.07,8
107/06/13,36.46,36.47,36.42,36.47,27703000,1006744400,+0.12,8
107/06/14,36.37,36.45,36.37,36.42,224000,8155590,-0.05,18
107/06/15,36.63,36.63,36.50,36.57,27807000,1015794410,+0.15,17
107/06/19,36.79,36.79,36.77,36.77,27701000,1015265790,+0.20,6
107/06/20,36.80,36.80,36.76,36.79,27702000,1018601590,+0.02,7
107/06/21,36.60,36.62,36.57,36.61,204000,7467390,-0.18,8
107/06/22,36.65,36.65,36.52,36.53,204000,7451340,-0.08,8
