109/04/16,4.88,4.88,4.84,4.86,26000,126360,0.03,4
109/04/17,4.75,4.79,4.73,4.78,39000,186070,-0.08,5
109/04/20,4.76,4.79,4.76,4.78,45000,214850,0.00,8
109/04/21,4.80,4.92,4.79,4.91,103000,500990,0.13,21
109/04/22,4.94,4.96,4.89,4.90,109000,537310,-0.01,17
109/04/23,4.83,4.90,4.81,4.85,57000,276710,-0.05,13
109/04/24,4.86,4.86,4.85,4.86,26000,126300,0.01,6
109/04/27,4.76,4.79,4.73,4.73,160000,761750,-0.13,18
109/04/28,4.70,4.73,4.70,4.72,57000,269070,-0.01,10
109/04/29,4.69,4.69,4.65,4.65,76000,354700,-0.07,11
109/04/30,4.62,4.62,4.57,4.57,75000,344550,-0.08,9
109/05/04,5.00,5.00,4.66,4.68,521000,2447730,0.11,33
109/05/05,4.64,4.65,4.60,4.63,70000,323700,-0.05,14
109/05/06,4.64,4.67,4.60,4.62,71000,328280,-0.01,13
109/05/07,4.59,4.60,4.56,4.57,66000,302230,-0.05,11
109/05/08,4.55,4.55,4.51,4.51,70000,316600,-0.06,11
109/05/11,4.48,4.50,4.46,4.46,71000,317630,-0.05,10
109/05/12,4.51,4.57,4.50,4.53,165000,746950,0.07,16
109/05/13,4.57,4.58,4.52,4.52,97000,441300,-0.01,23
109/05/14,4.55,4.58,4.52,4.58,225000,1021020,0.06,30
109/05/15,4.55,4.65,4.55,4.58,213000,977960,0.00,29
109/05/18,4.64,4.73,4.63,4.73,1050000,4938630,0.15,15
109/05/19,4.64,4.71,4.64,4.70,62000,289750,-0.03,14
109/05/20,4.67,4.71,4.65,4.71,66000,309370,0.01,14
109/05/21,4.66,4.68,4.64,4.67,90000,419700,-0.04,11
109/05/22,4.69,4.77,4.69,4.77,298000,1409140,0.10,17
109/05/25,4.74,4.80,4.73,4.74,131000,623460,-0.03,16
109/05/26,4.70,4.71,4.66,4.68,270000,1262100,-0.06,13
109/05/27,4.66,4.70,4.65,4.67,260000,1209800,-0.01,7
109/05/28,4.65,4.72,4.65,4.72,296000,1378220,0.05,14
109/05/29,4.72,4.74,4.68,4.72,379000,1789850,0.00,10
109/06/01,4.63,4.63,4.59,4.59,247000,1138850,-0.13,22
109/06/02,4.57,4.58,4.54,4.58,347000,1577760,-0.01,17
109/06/03,4.50,4.51,4.46,4.46,122000,548380,-0.12,14
109/06/04,4.40,4.44,4.38,4.43,95000,419800,-0.03,16
109/06/05,4.38,4.41,4.37,4.40,60000,263650,-0.03,9
109/06/08,4.36,4.40,4.34,4.36,153000,667170,-0.04,14
109/06/09,4.34,4.38,4.33,4.37,575000,2495250,0.01,15
109/06/10,4.33,4.36,4.30,4.34,100000,433200,-0.03,17
109/06/11,4.29,4.40,4.29,4.40,85000,369750,0.06,17
109/06/12,4.46,4.47,4.41,4.41,770000,3402050,0.01,20
109/06/15,--,--,--,--,0,0,0.00,0
109/06/16,--,--,--,--,0,0,0.00,0
109/06/17,--,--,--,--,0,0,0.00,0
109/06/18,4.38,4.38,4.38,4.38,10000,43800,0.00,1
109/06/19,4.34,4.34,4.33,4.34,50000,216750,-0.04,4
109/06/22,4.33,4.34,4.32,4.32,30000,129900,-0.02,4
109/06/23,--,--,--,--,0,0,0.00,0
109/06/24,4.28,4.28,4.28,4.28,50000,214000,0.00,1
109/06/29,4.31,4.32,4.30,4.32,51000,219420,0.04,5
109/06/30,4.27,4.28,4.27,4.28,2000,8550,-0.04,2
109/07/01,--,--,--,--,0,0,0.00,0
109/07/02,4.21,4.21,4.21,4.21,40000,168400,0.00,3
109/07/03,4.15,4.17,4.15,4.16,75000,311850,-0.05,4
109/07/06,--,--,--,--,0,0,0.00,0
109/07/07,4.10,4.10,4.10,4.10,40000,164000,0.00,4
109/07/08,--,--,--,--,0,0,0.00,0
109/07/09,--,--,--,--,0,0,0.00,0
109/07/10,--,--,--,--,0,0,0.00,0
109/07/13,--,--,--,--,0,0,0.00,0
109/07/14,4.08,4.09,4.08,4.08,40000,163300,0.00,4
109/07/15,4.03,4.03,4.03,4.03,20000,80600,-0.05,2
109/07/16,--,--,--,--,0,0,0.00,0
109/07/17,4.06,4.06,4.06,4.06,8000,32480,0.00,1
109/07/20,--,--,--,--,0,0,0.00,0
109/07/21,4.03,4.03,4.02,4.02,378000,1519760,0.00,4
109/07/22,4.00,4.00,3.99,3.99,80000,319400,-0.03,4
109/07/23,--,--,--,--,0,0,0.00,0
109/07/24,4.06,4.07,4.06,4.07,71000,288570,0.00,4
109/07/27,4.02,4.02,3.98,3.98,112000,447920,-0.09,13
109/07/28,3.86,4.03,3.86,4.01,131000,514130,0.03,11
