103/09/01,7.80,7.80,7.65,7.65,28000,215600,,6
103/09/02,7.70,7.70,7.65,7.65,22000,168650,,6
103/09/03,7.65,7.80,7.65,7.80,278000,2156000,0.15,10
103/09/04,7.90,7.90,7.80,7.80,3000,23500,,2
103/09/05,7.80,7.80,7.80,7.80,38000,296400,,5
103/09/09,7.85,7.85,7.70,7.80,36000,280750,,6
103/09/10,7.60,7.60,7.60,7.60,97000,737200,-0.20,11
103/09/11,7.70,7.70,7.65,7.65,3000,23000,0.05,2
103/09/12,7.70,7.70,7.60,7.60,83000,634350,-0.05,4
103/09/15,7.55,7.55,7.55,7.55,2000,15100,-0.05,2
103/09/16,7.55,7.55,7.50,7.50,66000,497050,-0.05,10
103/09/17,7.60,7.60,7.45,7.45,619000,4653200,-0.05,17
103/09/18,7.45,7.50,7.45,7.50,30000,224900,0.05,5
103/09/19,7.50,7.50,7.50,7.50,30000,225000,,1
103/09/22,7.35,7.40,7.35,7.40,31000,227900,-0.10,4
103/09/23,7.45,7.45,7.40,7.40,72000,534300,,7
103/09/24,7.35,7.35,7.35,7.35,100000,735000,-0.05,5
103/09/25,7.20,7.30,7.15,7.15,272000,1957000,-0.20,6
103/09/26,7.10,7.20,7.05,7.20,110000,779600,0.05,8
103/09/29,7.00,7.00,6.90,6.95,192000,1333150,-0.25,17
103/09/30,6.90,6.90,6.65,6.70,199000,1347850,-0.25,17
103/10/01,6.75,6.75,6.75,6.75,80000,540000,0.05,1
103/10/02,6.70,6.70,6.70,6.70,31000,207700,-0.05,4
103/10/03,6.80,6.95,6.80,6.95,47000,321800,0.25,7
103/10/06,6.90,6.90,6.90,6.90,45000,310500,-0.05,5
103/10/07,6.65,6.85,6.65,6.85,58000,386300,-0.05,5
103/10/08,6.80,6.80,6.65,6.65,93000,631000,-0.20,11
103/10/09,6.70,6.80,6.70,6.75,147000,992850,0.10,18
103/10/13,6.50,6.60,6.45,6.45,120000,787650,-0.30,18
103/10/14,6.25,6.45,6.25,6.40,23000,147600,-0.05,6
103/10/15,6.35,6.40,6.35,6.40,106000,674400,,9
103/10/16,6.15,6.35,6.10,6.30,204000,1273700,-0.10,18
103/10/17,6.30,6.45,6.30,6.40,67000,430600,0.10,11
103/10/20,6.45,6.55,6.45,6.55,74000,478700,0.15,9
103/10/21,6.55,6.55,6.55,6.55,30000,196500,,3
103/10/22,6.60,6.65,6.60,6.65,70000,464250,0.10,6
103/10/23,6.55,6.60,6.55,6.60,45000,296250,-0.05,4
103/10/24,6.60,6.60,6.55,6.55,22000,145100,-0.05,3
103/10/27,6.60,6.60,6.55,6.55,41000,270100,,5
103/10/28,6.70,6.85,6.70,6.85,43000,290250,0.30,9
103/10/29,6.90,6.95,6.90,6.95,25000,173500,0.10,3
103/10/30,6.95,6.95,6.90,6.90,50000,346000,-0.05,5
103/10/31,6.85,6.90,6.80,6.90,59000,404150,,8
103/11/03,6.90,7.00,6.90,7.00,20000,139000,0.10,2
103/11/04,7.05,7.10,7.05,7.05,8000,56500,0.05,4
103/11/05,--,--,--,--,0,0,,0
103/11/06,--,--,--,--,0,0,,0
103/11/07,--,--,--,--,0,0,,0
103/11/10,7.00,7.00,7.00,7.00,2000,14000,X,1
103/11/11,--,--,--,--,0,0,,0
103/11/12,6.80,6.80,6.65,6.65,64000,429600,X,7
103/11/13,6.65,6.70,6.65,6.70,108000,721100,0.05,12
103/11/14,6.60,6.60,6.55,6.60,63000,414400,-0.10,7
103/11/17,6.65,6.65,6.65,6.65,15000,99750,0.05,2
103/11/18,--,--,--,--,0,0,,0
103/11/19,--,--,--,--,0,0,,0
103/11/20,6.70,6.75,6.70,6.75,60000,402500,X,3
