100/05/18,1.03,1.04,1.03,1.03,113000,116490,-0.10,3
100/05/19,0.94,1.07,0.94,1.07,26000,26770,0.04,3
100/05/20,1.07,1.07,1.06,1.07,136000,144530,,3
100/05/23,1.07,1.08,1.05,1.05,304000,323150,-0.02,8
100/05/24,1.12,1.28,1.12,1.16,800000,980740,0.11,21
100/05/25,1.14,1.21,1.14,1.18,609000,720120,0.02,14
100/05/26,1.11,1.14,1.11,1.14,41000,46610,-0.04,5
100/05/27,1.17,1.17,1.10,1.11,249000,277960,-0.03,6
100/05/30,1.03,1.03,0.96,0.96,33000,32500,-0.15,3
100/05/31,--,--,--,--,0,0,,0
100/06/01,--,--,--,--,0,0,,0
100/06/02,0.86,0.86,0.86,0.86,2000,1720,-0.10,1
100/06/03,0.84,0.84,0.84,0.84,2000,1680,-0.02,1
100/06/07,0.85,0.85,0.84,0.84,40000,33900,,2
100/06/08,0.96,1.02,0.96,1.02,124000,124890,0.18,4
100/06/09,1.02,1.09,1.02,1.07,324000,345080,0.05,12
100/06/10,1.03,1.08,1.01,1.01,377000,396110,-0.06,13
100/06/13,1.07,1.12,1.06,1.12,340000,364500,0.11,8
100/06/14,1.13,1.16,1.00,1.00,329000,367800,-0.12,11
100/06/15,0.97,1.01,0.97,0.98,231000,229410,-0.02,9
100/06/16,1.07,1.07,1.06,1.06,70000,74700,0.08,3
100/06/17,--,--,--,--,0,0,,0
100/06/20,1.16,1.41,1.16,1.41,243000,306020,0.28,9
100/06/21,1.45,1.58,1.42,1.53,597000,899000,0.12,14
100/06/22,1.42,1.42,1.23,1.23,463000,616310,-0.30,11
100/06/23,1.22,1.28,1.22,1.24,729000,915390,0.01,16
100/06/24,1.28,1.44,1.27,1.39,374000,479730,0.15,12
100/06/27,1.42,1.42,1.40,1.40,476000,673700,0.01,11
100/06/28,1.32,1.32,1.29,1.29,132000,173600,-0.11,5
100/06/29,1.20,1.20,1.20,1.20,2000,2400,-0.09,1
100/06/30,1.22,1.22,1.18,1.18,4000,4800,-0.02,2
100/07/01,1.10,1.16,1.10,1.16,21000,23760,-0.02,3
100/07/04,--,--,--,--,0,0,,0
100/07/05,--,--,--,--,0,0,,0
100/07/06,0.93,0.93,0.85,0.88,145000,125150,-0.16,7
100/07/07,0.85,0.87,0.82,0.87,45000,37750,-0.01,3
100/07/08,0.92,0.92,0.92,0.92,423000,389160,0.05,8
100/07/11,0.93,1.03,0.93,1.02,348000,345660,0.10,9
100/07/12,1.06,1.07,1.01,1.03,150000,155700,0.01,7
100/07/13,1.04,1.05,1.01,1.01,205000,213530,-0.02,6
100/07/14,0.96,1.09,0.96,1.09,577000,568390,0.08,206
100/07/15,1.01,1.03,0.90,0.90,404000,412540,-0.19,11
100/07/18,0.85,0.91,0.85,0.91,42000,35820,0.01,2
100/07/19,--,--,--,--,0,0,,0
100/07/20,0.77,0.78,0.71,0.71,47000,36120,-0.20,5
100/07/21,0.63,0.63,0.56,0.60,275000,168960,-0.11,9
100/07/22,0.57,0.66,0.57,0.65,155000,99740,0.05,3
100/07/25,0.59,0.61,0.53,0.53,238000,139050,-0.12,5
100/07/26,0.46,0.55,0.46,0.55,164000,85160,0.02,4
100/07/27,0.49,0.56,0.49,0.56,131000,66290,0.01,3
100/07/28,0.49,0.49,0.49,0.49,15000,7350,-0.07,1
100/07/29,0.50,0.50,0.50,0.50,50000,25000,0.01,2
100/08/01,0.41,0.41,0.38,0.38,90000,35400,-0.12,3
100/08/02,--,--,--,--,0,0,,0
100/08/03,0.91,0.91,0.34,0.34,50000,28400,0.03,2
100/08/04,0.39,0.45,0.39,0.45,140000,58000,0.11,5
100/08/05,--,--,--,--,0,0,,0
100/08/08,0.68,0.82,0.68,0.82,325000,249850,0.37,8
100/08/09,0.91,0.96,0.61,0.61,422000,364200,-0.21,9
100/08/10,0.55,0.55,0.55,0.55,50000,27500,-0.06,1
100/08/11,0.63,0.63,0.58,0.58,45000,27350,0.03,2
100/08/12,--,--,--,--,0,0,,0
