106/09/25,0.55,0.66,0.54,0.63,993000,580570,+0.16,14
106/09/26,0.60,0.78,0.58,0.77,2001000,1338470,+0.14,30
106/09/27,0.73,0.77,0.70,0.74,1469000,1076300,-0.03,41
106/09/28,0.67,0.67,0.65,0.67,655000,437140,-0.07,15
106/09/29,0.67,0.76,0.67,0.69,690000,503910,+0.02,28
106/09/30,0.60,0.61,0.50,0.52,544000,310390,-0.17,19
106/10/02,0.49,0.54,0.49,0.53,249000,131710,+0.01,4
106/10/03,0.50,0.51,0.48,0.51,200000,98200,-0.02,7
106/10/05,0.48,0.49,0.48,0.49,75000,36200,-0.02,3
106/10/06,0.44,0.44,0.40,0.40,170000,69300,-0.09,4
106/10/11,0.44,0.44,0.44,0.44,50000,22000,+0.04,1
106/10/12,0.22,0.22,0.22,0.22,100000,22000,-0.22,2
106/10/13,0.20,0.20,0.19,0.20,100000,19500,-0.02,7
106/10/16,---,---,---,---,0,0,---,0
106/10/17,0.17,0.17,0.17,0.17,4000,680,-0.03,1
106/10/18,---,---,---,---,0,0,---,0
106/10/19,---,---,---,---,0,0,---,0
106/10/20,0.15,0.15,0.15,0.15,20000,3000,-0.01,1
106/10/23,---,---,---,---,0,0,---,0
106/10/24,0.15,0.15,0.15,0.15,100000,15000,0.00,2
106/10/25,0.12,0.12,0.12,0.12,100000,12000,-0.03,1
106/10/26,0.16,0.16,0.16,0.16,200000,32000,+0.04,3
106/10/27,0.17,0.17,0.17,0.17,100000,17000,+0.01,1
106/10/30,0.15,0.15,0.14,0.14,100000,14500,-0.03,6
106/10/31,---,---,---,---,0,0,---,0
106/11/01,---,---,---,---,0,0,---,0
106/11/02,0.09,0.09,0.09,0.09,100000,9000,-0.01,1
106/11/03,---,---,---,---,0,0,---,0
106/11/06,---,---,---,---,0,0,---,0
106/11/07,---,---,---,---,0,0,---,0
106/11/08,0.04,0.04,0.04,0.04,290000,11600,-0.04,3
106/11/09,---,---,---,---,0,0,---,0
106/11/10,---,---,---,---,0,0,---,0
106/11/13,---,---,---,---,0,0,---,0
106/11/14,---,---,---,---,0,0,---,0
106/11/15,---,---,---,---,0,0,---,0
106/11/16,---,---,---,---,0,0,---,0
106/11/17,---,---,---,---,0,0,---,0
106/11/20,---,---,---,---,0,0,---,0
106/11/21,---,---,---,---,0,0,---,0
106/11/22,---,---,---,---,0,0,---,0
106/11/23,---,---,---,---,0,0,---,0
106/11/24,---,---,---,---,0,0,---,0
106/11/27,---,---,---,---,0,0,---,0
106/11/28,---,---,---,---,0,0,---,0
106/11/29,---,---,---,---,0,0,---,0
106/11/30,---,---,---,---,0,0,---,0
106/12/01,---,---,---,---,0,0,---,0
106/12/04,---,---,---,---,0,0,---,0
106/12/05,---,---,---,---,0,0,---,0
106/12/06,---,---,---,---,0,0,---,0
106/12/07,---,---,---,---,0,0,---,0
106/12/08,---,---,---,---,0,0,---,0
106/12/11,---,---,---,---,0,0,---,0
106/12/12,---,---,---,---,0,0,---,0
106/12/13,---,---,---,---,0,0,---,0
106/12/14,---,---,---,---,0,0,---,0
106/12/15,---,---,---,---,0,0,---,0
