106/06/23,19.82,19.87,19.81,19.83,1877000,37239200,-0.14,476
106/06/26,19.89,19.89,19.83,19.86,288000,5719100,0.03,95
106/06/27,19.83,19.85,19.83,19.84,853000,16923470,-0.02,64
106/06/28,19.76,19.76,19.69,19.69,1064000,20981400,-0.15,47
106/06/29,19.64,19.67,19.63,19.65,1066000,20961980,-0.04,49
106/06/30,19.56,19.56,19.53,19.53,563000,11006150,-0.12,34
106/07/03,19.45,19.45,19.39,19.40,1214000,23575780,-0.13,33
106/07/04,19.33,19.46,19.32,19.42,1771000,34344330,0.02,42
106/07/05,19.40,19.45,19.40,19.40,1327000,25774230,-0.02,24
106/07/06,19.41,19.45,19.41,19.43,1362000,26473060,0.03,32
106/07/07,19.32,19.32,19.28,19.28,1155000,22287810,-0.15,31
106/07/10,19.28,19.35,19.23,19.29,1988000,38395150,0.01,47
106/07/11,19.31,19.35,19.31,19.33,960000,18569280,0.04,20
106/07/12,19.38,19.41,19.38,19.41,958000,18585690,0.08,23
106/07/13,19.48,19.60,19.48,19.48,2245000,43867730,0.07,48
106/07/14,19.40,19.46,19.40,19.44,1011000,19666880,-0.04,23
106/07/17,19.53,19.53,19.51,19.53,916000,17883320,0.09,22
106/07/18,19.53,19.60,19.53,19.59,928000,18182390,0.06,30
106/07/19,19.63,19.66,19.63,19.64,933000,18336410,0.05,17
106/07/20,19.64,19.66,19.64,19.65,911000,17904150,0.01,19
106/07/21,19.67,19.68,19.66,19.67,903000,17764990,0.02,20
106/07/24,19.74,19.75,19.72,19.72,1164000,22976400,0.05,30
106/07/25,19.67,19.71,19.67,19.69,912000,17966220,-0.03,22
106/07/26,19.57,19.57,19.49,19.50,1123000,21916580,-0.19,28
106/07/27,19.62,19.64,19.61,19.61,1186000,23287050,0.11,33
106/07/28,19.59,19.59,19.55,19.55,1262000,24713270,-0.06,32
106/07/31,19.63,19.63,19.61,19.61,902000,17697220,0.06,18
106/08/01,19.56,19.57,19.54,19.54,908000,17760320,-0.07,23
106/08/02,19.65,19.68,19.65,19.65,912000,17941890,0.11,29
106/08/03,19.66,19.68,19.66,19.67,902000,17745330,0.02,18
106/08/04,19.70,19.76,19.70,19.75,919000,18153080,0.08,31
106/08/07,19.65,19.66,19.64,19.66,901000,17710640,-0.09,19
106/08/08,19.67,19.69,19.67,19.69,900000,17715000,0.03,21
106/08/09,19.69,19.71,19.69,19.71,901000,17755690,0.02,15
106/08/10,19.74,19.75,19.69,19.71,920000,18130530,0.00,30
106/08/11,19.82,19.85,19.80,19.83,965000,19129660,0.12,33
106/08/14,19.84,19.84,19.82,19.83,932000,18484350,0.00,25
106/08/15,19.74,19.74,19.71,19.71,908000,17914750,-0.12,20
106/08/16,19.65,19.68,19.65,19.66,905000,17804310,-0.05,13
106/08/17,19.76,19.77,19.76,19.77,906000,17908610,0.11,16
106/08/18,19.80,19.84,19.80,19.82,916000,18164190,0.05,16
106/08/21,19.81,19.83,19.81,19.82,906000,17959860,0.00,9
106/08/22,19.82,19.84,19.82,19.84,902000,17892650,0.02,16
106/08/23,19.74,19.79,19.74,19.78,901000,17824740,-0.06,11
106/08/24,19.86,19.87,19.86,19.87,904000,17962440,0.09,12
106/08/25,19.80,19.83,19.80,19.83,902000,17883630,-0.04,15
106/08/28,19.85,19.85,19.85,19.85,900000,17865000,0.02,10
106/08/29,19.93,19.98,19.93,19.97,923000,18435120,0.12,22
106/08/30,19.93,19.93,19.91,19.92,904000,18010650,-0.05,14
106/08/31,19.90,19.91,19.89,19.91,603000,12002680,-0.01,13
106/09/01,19.91,19.95,19.91,19.95,634000,12648170,0.04,19
106/09/04,19.94,19.94,19.94,19.94,600000,11964000,-0.01,6
106/09/05,19.93,19.95,19.92,19.92,604000,12046710,-0.02,13
106/09/06,20.05,20.12,20.05,20.12,1019000,20500830,0.20,39
106/09/07,20.04,20.07,20.04,20.07,910000,18236700,-0.05,11
106/09/08,20.17,20.21,20.15,20.21,1022000,20616000,0.14,36
106/09/11,20.04,20.05,20.04,20.05,900000,18042000,-0.16,10
106/09/12,19.98,19.98,19.92,19.92,903000,18002870,-0.13,16
106/09/13,19.90,19.90,19.86,19.87,904000,17965560,-0.05,14
106/09/14,19.81,19.82,19.79,19.80,902000,17865600,-0.07,13
106/09/15,19.78,19.80,19.78,19.80,925000,18308500,0.00,18
106/09/18,19.72,19.72,19.70,19.71,906000,17854270,-0.09,11
106/09/19,19.70,19.73,19.70,19.71,1451000,28606200,0.00,31
106/09/20,19.71,19.71,19.66,19.66,905000,17798450,-0.05,23
106/09/21,19.59,19.59,19.55,19.56,603000,11791700,-0.10,12
106/09/22,19.55,19.62,19.55,19.62,1006000,19737430,0.06,12
106/09/25,19.61,19.61,19.60,19.60,202000,3959220,-0.02,4
106/09/26,19.67,19.67,19.67,19.67,1000,19670,0.07,1
106/09/27,19.63,19.63,19.63,19.63,1000,19630,-0.04,1
106/09/28,19.54,19.54,19.54,19.54,1000,19540,-0.09,1
106/09/29,19.53,19.53,19.53,19.53,1000,19530,-0.01,1
106/09/30,--,--,--,--,0,0,0.00,0
106/10/02,19.39,19.39,19.36,19.36,3000,58110,0.00,3
106/10/03,--,--,--,--,0,0,0.00,0
106/10/05,19.45,19.48,19.44,19.48,22000,427730,0.00,3
106/10/06,19.40,19.40,19.39,19.39,2000,38790,-0.09,2
106/10/11,19.39,19.39,19.39,19.39,1000,19390,0.00,1
106/10/12,19.44,19.44,19.44,19.44,1000,19440,0.05,1
106/10/13,19.47,19.47,19.46,19.46,2000,38930,0.02,2
106/10/16,19.54,19.54,19.50,19.50,8000,156180,0.04,8
106/10/17,19.46,19.46,19.45,19.45,5000,97280,-0.05,4
106/10/18,19.48,19.48,19.41,19.45,19000,369510,0.00,10
106/10/19,19.41,19.41,19.37,19.37,5000,96950,-0.08,5
106/10/20,19.45,19.45,19.34,19.34,9000,174590,-0.03,9
106/10/23,19.27,19.27,19.24,19.24,11000,211670,-0.10,5
106/10/24,19.29,19.29,19.29,19.29,2000,38580,0.05,2
106/10/25,19.23,19.23,19.22,19.22,4000,76890,-0.07,4
106/10/26,--,--,--,--,0,0,0.00,0
106/10/27,19.15,19.15,19.15,19.15,1000,19150,0.00,1
106/10/30,19.27,19.27,19.27,19.27,1000,19270,0.12,1
106/10/31,19.29,19.29,19.29,19.29,1000,19290,0.02,1
106/11/01,--,--,--,--,0,0,0.00,0
106/11/02,--,--,--,--,0,0,0.00,0
106/11/03,19.33,19.33,19.33,19.33,2000,38660,0.00,1
106/11/06,19.33,19.33,19.33,19.33,1000,19330,0.00,1
106/11/07,--,--,--,--,0,0,0.00,0
106/11/08,--,--,--,--,0,0,0.00,0
106/11/09,--,--,--,--,0,0,0.00,0
106/11/10,19.35,19.35,19.35,19.35,1000,19350,0.00,1
106/11/13,19.23,19.23,19.16,19.16,3000,57550,-0.19,3
106/11/14,19.16,19.16,19.16,19.16,1000,19160,0.00,1
106/11/15,--,--,--,--,0,0,0.00,0
106/11/16,--,--,--,--,0,0,0.00,0
106/11/17,--,--,--,--,0,0,0.00,0
106/11/20,19.27,19.27,19.27,19.27,1000,19270,0.00,1
106/11/21,--,--,--,--,0,0,0.00,0
106/11/22,--,--,--,--,0,0,0.00,0
106/11/23,--,--,--,--,0,0,0.00,0
106/11/24,19.17,19.17,19.17,19.17,1000,19170,0.00,1
106/11/27,--,--,--,--,0,0,0.00,0
106/11/28,19.24,19.24,19.24,19.24,1000,19240,0.00,1
106/11/29,--,--,--,--,0,0,0.00,0
106/11/30,19.08,19.08,19.08,19.08,1000,19080,0.00,1
106/12/01,19.08,19.08,19.01,19.01,3000,57170,-0.07,3
106/12/04,18.99,18.99,18.99,18.99,1000,18990,-0.02,1
106/12/05,19.04,19.04,19.04,19.04,1000,19040,0.05,1
106/12/06,19.11,19.13,19.08,19.08,153000,2923570,0.04,4
106/12/07,19.10,19.10,19.10,19.10,2000,38200,0.02,1
106/12/08,19.08,19.08,19.08,19.08,5000,95400,-0.02,1
106/12/11,--,--,--,--,0,0,0.00,0
106/12/12,--,--,--,--,0,0,0.00,0
106/12/13,18.98,18.98,18.98,18.98,5000,94900,0.00,1
106/12/14,--,--,--,--,0,0,0.00,0
106/12/15,19.10,19.10,19.10,19.10,1000,19100,0.00,1
106/12/18,--,--,--,--,0,0,0.00,0
106/12/19,--,--,--,--,0,0,0.00,0
106/12/20,--,--,--,--,0,0,0.00,0
106/12/21,--,--,--,--,0,0,0.00,0
106/12/22,18.77,18.77,18.77,18.77,1000,18770,0.00,1
106/12/25,18.74,18.74,18.74,18.74,1000,18740,-0.03,1
