106/09/25,4.01,4.01,4.01,4.01,99000,396990,+0.03,1
106/09/26,3.93,3.94,3.93,3.94,78000,307060,-0.07,3
106/09/27,---,---,---,---,0,0,---,0
106/09/28,4.02,4.02,4.02,4.02,5000,20100,+0.03,1
106/09/29,4.01,4.01,4.00,4.01,27000,108150,-0.01,4
106/09/30,---,---,---,---,0,0,---,0
106/10/02,---,---,---,---,0,0,---,0
106/10/03,4.06,4.06,4.06,4.06,4000,16240,+0.02,1
106/10/05,---,---,---,---,0,0,---,0
106/10/06,---,---,---,---,0,0,---,0
106/10/11,4.00,4.02,4.00,4.02,104000,418000,-0.04,2
106/10/12,---,---,---,---,0,0,---,0
106/10/13,---,---,---,---,0,0,---,0
106/10/16,---,---,---,---,0,0,---,0
106/10/17,---,---,---,---,0,0,---,0
106/10/18,4.03,4.03,4.03,4.03,80000,322400,+0.03,3
106/10/19,---,---,---,---,0,0,---,0
106/10/20,3.98,4.04,3.98,4.04,40000,160400,-0.01,4
106/10/23,---,---,---,---,0,0,---,0
106/10/24,---,---,---,---,0,0,---,0
106/10/25,---,---,---,---,0,0,---,0
106/10/26,---,---,---,---,0,0,---,0
106/10/27,4.08,4.08,4.08,4.08,201000,820080,+0.03,1
106/10/30,---,---,---,---,0,0,---,0
106/10/31,---,---,---,---,0,0,---,0
106/11/01,---,---,---,---,0,0,---,0
106/11/02,---,---,---,---,0,0,---,0
106/11/03,---,---,---,---,0,0,---,0
106/11/06,---,---,---,---,0,0,---,0
106/11/07,4.06,4.06,4.06,4.06,80000,324800,-0.02,1
106/11/08,4.06,4.06,4.06,4.06,20000,81200,0.00,2
106/11/09,4.04,4.04,4.04,4.04,95000,383800,-0.02,3
106/11/10,4.03,4.03,4.03,4.03,10000,40300,-0.01,1
106/11/13,---,---,---,---,0,0,---,0
106/11/14,4.06,4.06,4.06,4.06,20000,81200,+0.01,1
106/11/15,4.04,4.04,4.04,4.04,160000,646400,-0.02,1
106/11/16,---,---,---,---,0,0,---,0
106/11/17,---,---,---,---,0,0,---,0
106/11/20,4.02,4.02,4.02,4.02,110000,442200,-0.04,2
106/11/21,4.06,4.06,4.06,4.06,10000,40600,+0.04,1
106/11/22,4.06,4.08,4.06,4.08,120000,487600,+0.02,3
106/11/23,4.04,4.04,4.04,4.04,130000,525200,-0.04,2
106/11/24,4.03,4.03,4.03,4.03,10000,40300,-0.01,1
106/11/27,---,---,---,---,0,0,---,0
106/11/28,4.02,4.02,4.02,4.02,80000,321600,-0.01,1
106/11/29,---,---,---,---,0,0,---,0
106/11/30,4.06,4.06,4.06,4.06,40000,162400,+0.04,2
106/12/01,4.08,4.08,4.08,4.08,200000,816000,+0.02,1
106/12/04,---,---,---,---,0,0,---,0
106/12/05,---,---,---,---,0,0,---,0
106/12/06,---,---,---,---,0,0,---,0
106/12/07,---,---,---,---,0,0,---,0
106/12/08,4.18,4.18,4.18,4.18,10000,41800,+0.06,2
106/12/11,---,---,---,---,0,0,---,0
106/12/12,---,---,---,---,0,0,---,0
106/12/13,---,---,---,---,0,0,---,0
106/12/14,4.15,4.15,4.14,4.15,30000,124400,-0.04,4
106/12/15,---,---,---,---,0,0,---,0
106/12/18,---,---,---,---,0,0,---,0
106/12/19,---,---,---,---,0,0,---,0
106/12/20,---,---,---,---,0,0,---,0
106/12/21,---,---,---,---,0,0,---,0
106/12/22,---,---,---,---,0,0,---,0
106/12/25,---,---,---,---,0,0,---,0
106/12/26,4.08,4.08,4.08,4.08,20000,81600,-0.02,2
106/12/27,---,---,---,---,0,0,---,0
106/12/28,4.06,4.06,4.06,4.06,14000,56840,-0.01,2
106/12/29,4.07,4.07,4.06,4.06,12000,48780,0.00,2
107/01/02,4.02,4.03,4.02,4.03,12000,48300,-0.03,2
107/01/03,4.00,4.01,4.00,4.01,12000,48060,-0.02,2
107/01/04,---,---,---,---,0,0,---,0
107/01/05,---,---,---,---,0,0,---,0
107/01/08,---,---,---,---,0,0,---,0
107/01/09,---,---,---,---,0,0,---,0
107/01/10,---,---,---,---,0,0,---,0
107/01/11,---,---,---,---,0,0,---,0
107/01/12,---,---,---,---,0,0,---,0
107/01/15,---,---,---,---,0,0,---,0
107/01/16,3.92,3.92,3.92,3.92,30000,117600,0.00,3
107/01/17,3.94,3.94,3.94,3.94,170000,669800,+0.02,3
107/01/18,3.96,3.96,3.96,3.96,10000,39600,+0.02,1
107/01/19,3.97,3.97,3.97,3.97,160000,635200,+0.01,2
