106/10/30,0.75,0.76,0.73,0.73,150000,113260,0.00,4
106/10/31,0.71,0.71,0.71,0.71,108000,76680,-0.02,3
106/11/01,0.67,0.67,0.64,0.64,113000,74590,-0.07,5
106/11/02,0.63,0.64,0.63,0.64,237000,150680,0.00,5
106/11/03,0.63,0.65,0.60,0.64,784000,500070,0.00,24
106/11/06,0.62,0.62,0.60,0.61,592000,359790,-0.03,20
106/11/07,0.60,0.64,0.60,0.62,220000,137350,+0.01,8
106/11/08,0.57,0.57,0.48,0.48,436000,239750,-0.14,17
106/11/09,0.44,0.48,0.43,0.48,306000,141380,0.00,12
106/11/10,0.47,0.49,0.45,0.45,290000,135000,-0.03,8
106/11/13,0.32,0.32,0.27,0.27,55000,15100,-0.18,2
106/11/14,0.27,0.37,0.27,0.37,160000,53500,+0.10,12
106/11/15,0.33,0.35,0.31,0.31,389000,124550,-0.06,12
106/11/16,0.31,0.31,0.28,0.30,424000,127730,-0.01,13
106/11/17,0.27,0.29,0.23,0.25,1045000,271420,-0.05,23
106/11/20,0.23,0.24,0.22,0.24,474000,109360,-0.01,11
106/11/21,0.22,0.22,0.17,0.17,643000,133940,-0.07,16
106/11/22,0.16,0.17,0.12,0.15,1469000,213910,-0.02,46
106/11/23,0.14,0.14,0.11,0.11,1882000,243830,-0.04,35
106/11/24,0.12,0.13,0.12,0.13,300000,36010,+0.02,8
106/11/27,0.12,0.15,0.12,0.15,1088000,158140,+0.02,19
106/11/28,0.14,0.17,0.12,0.12,2035000,296750,-0.03,36
106/11/29,0.10,0.11,0.10,0.10,1972000,209220,-0.02,68
106/11/30,0.12,0.12,0.09,0.09,1209000,119640,-0.01,55
106/12/01,0.07,0.10,0.07,0.10,450000,41300,+0.01,14
106/12/04,0.10,0.14,0.09,0.14,1367000,136730,+0.04,25
106/12/05,0.13,0.13,0.10,0.13,1742000,198140,-0.01,33
106/12/06,0.11,0.13,0.10,0.13,307000,34530,0.00,12
106/12/07,0.13,0.18,0.12,0.18,1815000,265700,+0.05,26
106/12/08,0.18,0.18,0.12,0.12,410000,57900,-0.06,22
106/12/11,0.11,0.11,0.11,0.11,100000,11000,-0.01,10
106/12/12,0.14,0.15,0.14,0.15,105000,14750,+0.04,2
106/12/13,0.15,0.15,0.15,0.15,10000,1500,0.00,2
106/12/14,0.12,0.12,0.10,0.10,551000,56360,-0.05,18
106/12/15,0.12,0.12,0.09,0.10,43000,5110,0.00,6
106/12/18,0.09,0.09,0.09,0.09,2000,180,-0.01,2
106/12/19,0.10,0.12,0.10,0.11,249000,27180,+0.02,5
106/12/20,0.10,0.13,0.10,0.13,5000,530,+0.02,2
106/12/21,0.10,0.14,0.09,0.14,52000,5230,+0.01,4
106/12/22,0.13,0.13,0.12,0.12,120000,15400,-0.02,2
106/12/25,---,---,---,---,0,0,---,0
106/12/26,0.11,0.14,0.11,0.14,136000,15970,+0.02,6
106/12/27,0.11,0.14,0.11,0.14,104000,11560,0.00,3
106/12/28,0.12,0.12,0.10,0.10,35000,3900,-0.04,5
106/12/29,0.09,0.11,0.09,0.10,36000,3440,0.00,5
107/01/02,0.11,0.11,0.11,0.11,14000,1540,+0.01,2
107/01/03,0.10,0.10,0.10,0.10,21000,2100,-0.01,2
107/01/04,0.09,0.09,0.08,0.08,131000,10580,-0.02,4
107/01/05,0.10,0.10,0.10,0.10,1000,100,+0.02,1
107/01/08,0.09,0.16,0.09,0.16,148000,18010,+0.06,14
107/01/09,0.16,0.18,0.12,0.18,138000,22610,+0.02,9
107/01/10,0.17,0.50,0.17,0.50,134000,30010,+0.32,9
107/01/11,0.46,0.46,0.13,0.13,7000,1260,-0.37,4
107/01/12,0.15,0.16,0.13,0.13,12000,1880,0.00,3
107/01/15,0.12,0.15,0.11,0.11,197000,23970,-0.02,24
107/01/16,0.10,0.10,0.10,0.10,2000,200,-0.01,1
107/01/17,0.09,0.11,0.08,0.11,30000,2810,+0.01,7
107/01/18,0.09,0.09,0.09,0.09,1000,90,-0.02,1
107/01/19,0.09,0.09,0.07,0.09,118000,10600,0.00,9
107/01/22,0.08,0.10,0.08,0.09,22000,2070,0.00,4
107/01/23,0.12,0.12,0.12,0.12,1000,120,+0.03,1
107/01/24,0.10,0.10,0.09,0.09,5000,490,-0.03,3
107/01/25,---,---,---,---,0,0,---,0
107/01/26,0.11,0.11,0.11,0.11,1000,110,+0.02,1
107/01/29,---,---,---,---,0,0,---,0
107/01/30,0.07,0.09,0.07,0.09,80000,6800,0.00,3
107/01/31,0.08,0.08,0.07,0.07,401000,28470,-0.02,6
107/02/01,0.07,0.07,0.07,0.07,10000,700,0.00,1
107/02/02,---,---,---,---,0,0,---,0
107/02/05,0.10,0.10,0.07,0.07,60000,4500,+0.01,2
107/02/06,0.13,0.36,0.13,0.15,453000,60870,+0.08,13
107/02/07,0.12,0.21,0.12,0.21,116000,17010,+0.06,5
107/02/08,0.16,0.24,0.16,0.24,103000,20640,+0.03,5
107/02/09,0.33,0.57,0.33,0.40,1223000,487000,+0.16,26
107/02/12,0.37,0.57,0.37,0.57,1409000,622440,+0.17,49
107/02/21,0.42,0.60,0.41,0.60,62000,26090,+0.03,7
107/02/22,0.26,0.30,0.26,0.30,72000,19520,-0.30,2
107/02/23,0.21,0.45,0.21,0.25,71000,18100,-0.05,6
107/02/26,0.35,0.37,0.29,0.29,236000,82120,+0.04,8
107/02/27,0.29,0.29,0.24,0.27,41000,10790,-0.02,6
107/03/01,0.29,0.29,0.27,0.27,15000,4150,0.00,2
107/03/02,0.23,0.23,0.23,0.23,1000,230,-0.04,1
107/03/05,0.20,0.32,0.20,0.26,344000,71100,+0.03,8
107/03/06,0.25,0.25,0.25,0.25,10000,2500,-0.01,1
107/03/07,0.20,0.20,0.20,0.20,10000,2000,-0.05,1
107/03/08,0.24,0.24,0.24,0.24,10000,2400,+0.04,1
107/03/09,0.18,0.18,0.18,0.18,5000,900,-0.06,1
107/03/12,0.11,0.13,0.10,0.13,50000,5400,-0.05,3
107/03/13,0.08,0.08,0.08,0.08,10000,800,-0.05,2
107/03/14,---,---,---,---,0,0,---,0
107/03/15,0.07,0.07,0.07,0.07,10000,700,-0.01,1
107/03/16,0.05,0.05,0.05,0.05,10000,500,-0.02,1
107/03/19,0.03,0.09,0.03,0.09,132000,5880,+0.04,3
107/03/20,0.13,0.13,0.07,0.07,11000,830,-0.02,2
107/03/21,0.05,0.05,0.05,0.05,10000,500,-0.02,1
107/03/22,0.06,0.06,0.06,0.06,9000,540,+0.01,2
107/03/23,0.15,0.15,0.07,0.07,11000,850,+0.01,2
107/03/26,0.06,0.06,0.06,0.06,10000,600,-0.01,1
107/03/27,0.03,0.03,0.03,0.03,10000,300,-0.03,1
107/03/28,0.04,0.04,0.04,0.04,10000,400,+0.01,1
107/03/29,0.03,0.03,0.03,0.03,100000,3000,-0.01,1
107/03/30,0.03,0.03,0.03,0.03,20000,600,0.00,1
107/03/31,---,---,---,---,0,0,---,0
107/04/02,---,---,---,---,0,0,---,0
107/04/03,0.03,0.03,0.03,0.03,49000,1470,0.00,1
107/04/09,0.06,0.06,0.06,0.06,1000,60,+0.03,1
107/04/10,---,---,---,---,0,0,---,0
107/04/11,0.04,0.04,0.04,0.04,7000,280,0.00,2
107/04/12,0.10,0.10,0.10,0.10,1000,100,+0.06,1
107/04/13,---,---,---,---,0,0,---,0
107/04/16,---,---,---,---,0,0,---,0
107/04/17,0.02,0.02,0.02,0.02,6000,120,0.00,1
107/04/18,0.01,0.02,0.01,0.02,173000,1780,0.00,2
107/04/19,---,---,---,---,0,0,---,0
107/04/20,---,---,---,---,0,0,---,0
107/04/23,0.01,0.01,0.01,0.01,309000,3090,-0.01,3
107/04/24,0.02,0.03,0.02,0.03,410000,8210,+0.02,6
107/04/25,---,---,---,---,0,0,---,0
107/04/26,0.02,0.02,0.02,0.02,822000,16440,0.00,4
