107/04/17,---,---,---,---,0,0,---,0
107/04/18,1.11,1.11,1.11,1.11,50000,55500,+0.03,1
107/04/19,1.05,1.05,1.05,1.05,50000,52500,-0.06,1
107/04/20,---,---,---,---,0,0,---,0
107/04/23,1.06,1.13,1.06,1.12,302000,330270,+0.07,12
107/04/24,1.19,1.25,1.17,1.24,408000,496830,+0.12,10
107/04/25,1.27,1.27,1.27,1.27,100000,127000,+0.03,1
107/04/26,1.22,1.30,1.22,1.30,298000,377500,+0.03,6
107/04/27,1.23,1.30,1.23,1.23,428000,538840,-0.07,7
107/04/30,1.24,1.24,1.15,1.15,234000,281000,-0.08,8
107/05/02,1.06,1.06,1.05,1.05,40000,42200,-0.10,2
107/05/03,---,---,---,---,0,0,---,0
107/05/04,1.01,1.02,1.00,1.00,220000,222150,-0.06,5
107/05/07,0.98,0.98,0.96,0.97,45000,43650,-0.03,4
107/05/08,0.96,0.96,0.96,0.96,10000,9600,-0.01,1
107/05/09,---,---,---,---,0,0,---,0
107/05/10,0.94,0.94,0.91,0.91,19000,17590,-0.06,2
107/05/11,0.89,0.92,0.89,0.92,125000,114450,+0.01,4
107/05/14,0.93,0.96,0.91,0.91,40000,36850,-0.01,5
107/05/15,0.89,0.89,0.84,0.84,128000,111210,-0.07,10
107/05/16,0.79,0.83,0.79,0.82,90000,72500,-0.02,7
107/05/17,0.80,0.83,0.80,0.83,45000,36300,+0.01,4
107/05/18,0.84,0.89,0.84,0.89,23000,19570,+0.06,3
107/05/21,0.86,0.86,0.72,0.72,206000,154280,-0.17,11
107/05/22,0.72,0.75,0.62,0.69,383000,261230,-0.03,16
107/05/23,0.63,0.69,0.63,0.69,527000,345630,0.00,15
107/05/24,0.64,0.64,0.57,0.60,261000,157620,-0.09,13
107/05/25,0.57,0.61,0.57,0.61,100000,60390,+0.01,6
107/05/28,0.58,0.58,0.55,0.57,112000,62830,-0.04,7
107/05/29,0.53,0.56,0.53,0.56,2000,1090,-0.01,2
107/05/30,0.57,0.60,0.57,0.60,76000,44650,+0.04,4
107/05/31,0.57,0.65,0.55,0.65,185000,112190,+0.05,12
107/06/01,0.63,0.68,0.62,0.64,169000,108530,-0.01,12
107/06/04,0.61,0.61,0.59,0.59,27000,16010,-0.05,4
107/06/05,0.57,0.57,0.57,0.57,1000,570,-0.02,1
107/06/06,0.58,0.58,0.56,0.56,11000,6360,-0.01,2
107/06/07,0.57,0.57,0.57,0.57,10000,5700,+0.01,1
107/06/08,0.57,0.60,0.57,0.60,36000,21100,+0.03,4
107/06/11,0.61,0.62,0.61,0.62,28000,17090,+0.02,3
107/06/12,0.60,0.60,0.60,0.60,1000,600,-0.02,1
107/06/13,0.62,0.62,0.62,0.62,1000,620,+0.02,1
107/06/14,0.58,0.61,0.58,0.61,31000,18880,-0.01,2
107/06/15,0.56,0.57,0.53,0.57,26000,14010,-0.04,3
107/06/19,0.76,0.76,0.69,0.75,366000,271410,+0.18,22
107/06/20,0.78,0.85,0.75,0.75,825000,660290,0.00,33
107/06/21,0.70,0.73,0.69,0.71,390000,275500,-0.04,16
107/06/22,0.73,0.76,0.73,0.73,277000,206470,+0.02,9
107/06/25,0.74,0.83,0.74,0.83,289000,228230,+0.10,12
107/06/26,0.85,0.88,0.81,0.84,251000,213800,+0.01,18
107/06/27,0.81,0.87,0.78,0.85,150000,121700,+0.01,9
107/06/28,0.89,0.89,0.88,0.89,70000,61850,+0.04,5
107/06/29,0.82,0.82,0.80,0.80,66000,53700,-0.09,5
107/07/02,0.77,0.77,0.77,0.77,10000,7700,-0.03,1
107/07/03,0.82,0.85,0.82,0.85,155000,128550,+0.08,7
107/07/04,0.86,0.86,0.81,0.86,122000,102560,+0.01,7
107/07/05,0.79,0.88,0.79,0.88,192000,164480,+0.02,5
107/07/06,0.83,1.01,0.83,0.97,293000,268460,+0.09,19
107/07/09,0.97,0.99,0.95,0.95,161000,155770,-0.02,12
107/07/10,0.92,0.92,0.87,0.87,34000,30120,-0.08,5
107/07/11,0.84,0.84,0.84,0.84,8000,6720,-0.03,1
107/07/12,0.79,0.79,0.79,0.79,46000,36340,-0.05,1
107/07/13,0.66,0.66,0.60,0.61,83000,51800,-0.18,6
107/07/16,0.63,0.63,0.63,0.63,13000,8190,+0.02,2
107/07/17,0.63,0.63,0.63,0.63,15000,9450,0.00,2
107/07/18,0.64,0.64,0.64,0.64,30000,19200,+0.01,2
107/07/19,0.59,0.59,0.59,0.59,30000,17700,-0.05,3
107/07/20,0.57,0.57,0.57,0.57,10000,5700,-0.02,1
107/07/23,0.71,0.78,0.71,0.77,273000,203450,+0.20,17
107/07/24,0.77,0.77,0.71,0.71,281000,209100,-0.06,13
107/07/25,0.70,0.73,0.68,0.71,368000,262040,0.00,13
107/07/26,0.69,0.72,0.69,0.72,139000,97000,+0.01,8
107/07/27,0.71,0.71,0.69,0.69,134000,92900,-0.03,8
107/07/30,0.69,0.75,0.69,0.74,117000,85400,+0.05,14
107/07/31,0.73,0.73,0.70,0.70,26000,18530,-0.04,3
107/08/01,0.65,0.66,0.65,0.65,60000,39500,-0.05,4
107/08/02,0.65,0.65,0.64,0.64,115000,74100,-0.01,7
107/08/03,0.62,0.65,0.62,0.63,72000,45460,-0.01,4
107/08/06,0.85,0.85,0.71,0.71,328000,258930,+0.08,23
107/08/07,0.67,0.68,0.56,0.62,147000,92450,-0.09,22
107/08/08,0.61,0.64,0.60,0.61,157000,95410,-0.01,13
107/08/09,0.59,0.59,0.52,0.58,89000,49040,-0.03,9
107/08/10,0.58,0.67,0.56,0.67,62000,38270,+0.09,10
107/08/13,0.70,0.82,0.70,0.77,242000,181060,+0.10,28
107/08/14,0.72,0.79,0.68,0.68,140000,100180,-0.09,18
107/08/15,0.72,0.77,0.72,0.72,97000,71500,+0.04,13
107/08/16,0.74,0.78,0.71,0.76,129000,97070,+0.04,25
107/08/17,0.73,1.02,0.73,1.01,355000,312270,+0.25,48
107/08/20,1.00,1.28,0.98,1.28,527000,583420,+0.27,66
107/08/21,1.24,1.29,1.17,1.25,300000,369850,-0.03,23
107/08/22,1.13,1.13,1.13,1.13,6000,6780,-0.12,4
107/08/23,1.21,1.22,1.21,1.22,7000,8500,+0.09,5
107/08/24,1.17,1.17,1.10,1.11,41000,46640,-0.11,8
107/08/27,1.05,1.05,1.02,1.03,248000,259680,-0.08,6
107/08/28,0.92,0.94,0.89,0.92,28000,25830,-0.11,6
107/08/29,0.85,0.87,0.85,0.87,39000,33690,-0.05,6
107/08/30,0.81,0.87,0.81,0.87,86000,72670,0.00,11
107/08/31,1.13,1.13,0.82,0.82,76000,68120,-0.05,11
107/09/03,0.80,0.88,0.80,0.88,137000,113660,+0.06,10
107/09/04,0.81,0.81,0.81,0.81,40000,32400,-0.07,1
107/09/05,0.78,0.78,0.77,0.78,32000,24860,-0.03,4
107/09/06,0.79,0.82,0.79,0.80,38000,30350,+0.02,5
107/09/07,0.80,0.96,0.79,0.90,138000,120920,+0.10,13
107/09/10,0.86,1.05,0.86,1.05,81000,77140,+0.15,12
107/09/11,0.98,1.04,0.98,1.02,83000,83140,-0.03,11
107/09/12,1.04,1.30,1.04,1.27,126000,151020,+0.25,16
107/09/13,1.23,1.23,1.13,1.15,120000,142820,-0.12,15
107/09/14,1.10,1.10,0.95,0.95,37000,37410,-0.20,7
107/09/17,0.99,1.01,0.98,0.98,37000,36940,+0.03,7
107/09/18,1.04,1.12,1.02,1.12,60000,64140,+0.14,11
107/09/19,1.05,1.11,1.04,1.11,23000,24190,-0.01,3
107/09/20,1.09,1.22,1.09,1.22,26000,30260,+0.11,4
