106/11/27,---,---,---,---,0,0,---,0
106/11/28,2.64,2.65,2.64,2.65,126000,333060,+0.04,3
106/11/29,2.68,2.69,2.67,2.69,126000,337760,+0.04,3
106/11/30,2.42,2.42,2.42,2.42,200000,484000,-0.27,1
106/12/01,2.43,2.43,2.21,2.21,209000,463870,-0.21,2
106/12/04,2.19,2.33,2.19,2.33,138000,312780,+0.12,5
106/12/05,2.09,2.12,2.08,2.12,129000,269720,-0.21,4
106/12/06,---,---,---,---,0,0,---,0
106/12/07,1.87,1.89,1.87,1.89,85000,159790,+0.14,2
106/12/08,1.85,2.18,1.84,2.18,290000,571640,+0.29,7
106/12/11,2.19,2.39,2.18,2.39,466000,1046190,+0.21,12
106/12/12,2.37,2.51,2.34,2.37,286000,689320,-0.02,9
106/12/13,2.27,2.30,2.20,2.20,108000,245400,-0.17,6
106/12/14,2.27,2.27,2.12,2.12,40000,87950,-0.08,4
106/12/15,1.86,2.10,1.86,2.10,129000,265540,-0.02,5
106/12/18,2.12,2.19,2.07,2.07,170000,362820,-0.03,7
106/12/19,2.04,2.04,2.04,2.04,52000,106080,-0.03,2
106/12/20,1.91,2.06,1.91,2.06,182000,366090,+0.02,6
106/12/21,2.15,2.27,2.14,2.22,255000,562670,+0.16,18
106/12/22,2.13,2.18,2.12,2.15,128000,273960,-0.07,6
106/12/25,2.14,2.14,2.11,2.11,25000,53080,-0.04,3
106/12/26,2.25,2.35,2.25,2.25,96000,217670,+0.14,4
106/12/27,2.02,2.02,1.84,1.98,223000,425270,-0.27,6
106/12/28,2.00,2.13,2.00,2.09,250000,511860,+0.11,9
106/12/29,2.25,2.25,2.23,2.23,99000,221770,+0.14,2
107/01/02,2.15,2.15,2.15,2.15,4000,8600,-0.08,1
107/01/03,2.37,2.55,2.36,2.55,46000,114420,+0.40,9
107/01/04,2.49,2.58,2.43,2.58,49000,121620,+0.03,19
107/01/05,2.67,2.67,2.67,2.67,6000,16020,+0.09,1
107/01/08,2.51,2.64,2.49,2.60,45000,113280,-0.07,7
107/01/09,2.65,2.65,2.64,2.64,16000,42300,+0.04,2
107/01/10,2.50,2.50,2.33,2.33,8000,19040,-0.31,4
107/01/11,2.37,2.44,2.36,2.40,29000,69160,+0.07,12
107/01/12,2.52,2.52,2.52,2.52,47000,118440,+0.12,2
107/01/15,2.45,2.53,2.37,2.43,63000,154880,-0.09,11
107/01/16,2.59,2.65,2.57,2.57,23000,60700,+0.14,6
107/01/17,2.38,2.43,2.38,2.40,5000,12040,-0.17,3
107/01/18,2.50,2.68,2.50,2.68,250000,655990,+0.28,27
107/01/19,2.59,2.63,2.53,2.59,294000,765570,-0.09,15
107/01/22,2.72,3.18,2.72,3.18,159000,477030,+0.59,15
107/01/23,3.16,3.16,2.88,2.88,508000,1534490,-0.30,15
107/01/24,2.93,3.04,2.90,3.04,395000,1161020,+0.16,9
107/01/25,2.92,2.95,2.65,2.65,58000,169140,-0.39,5
107/01/26,2.72,2.72,2.72,2.72,10000,27200,+0.07,1
107/01/29,2.56,2.58,2.53,2.53,23000,58300,-0.19,4
107/01/30,2.52,2.57,2.51,2.53,63000,160340,0.00,4
107/01/31,2.36,2.49,2.36,2.49,97000,237500,-0.04,4
107/02/01,2.65,2.65,2.65,2.65,56000,148400,+0.16,1
107/02/02,---,---,---,---,0,0,---,0
107/02/05,2.34,2.34,2.34,2.34,1000,2340,-0.18,1
107/02/06,2.08,2.08,1.86,1.86,39000,76180,-0.48,3
107/02/07,2.08,2.08,2.08,2.08,20000,41600,+0.22,1
107/02/08,2.08,2.08,2.08,2.08,8000,16640,0.00,1
107/02/09,---,---,---,---,0,0,---,0
107/02/12,1.95,1.95,1.95,1.95,308000,600600,+0.05,2
107/02/21,2.14,2.25,2.14,2.25,721000,1562240,+0.30,12
107/02/22,1.98,2.14,1.98,2.14,223000,447820,-0.11,6
107/02/23,2.11,2.11,2.11,2.11,76000,160360,-0.03,1
107/02/26,2.18,2.18,2.06,2.06,77000,167740,-0.05,2
107/02/27,2.11,2.11,2.07,2.07,59000,122530,+0.01,4
107/03/01,1.99,2.14,1.99,2.08,142000,293380,+0.01,9
107/03/02,1.97,1.97,1.90,1.90,96000,187690,-0.18,4
107/03/05,1.82,1.82,1.82,1.82,4000,7280,-0.08,2
107/03/06,1.92,1.96,1.92,1.94,121000,234300,+0.12,8
107/03/07,1.97,2.14,1.96,2.06,535000,1104580,+0.12,17
107/03/08,2.07,2.13,2.07,2.09,423000,898670,+0.03,9
107/03/09,2.16,2.16,2.08,2.08,209000,446850,-0.01,5
107/03/12,2.15,2.31,2.15,2.27,347000,788100,+0.19,15
107/03/13,2.21,2.37,2.19,2.37,360000,810870,+0.10,10
107/03/14,2.19,2.26,2.17,2.17,314000,687240,-0.20,7
