107/06/04,1.54,1.55,1.54,1.55,8000,12370,+0.14,2
107/06/05,1.53,1.55,1.50,1.51,530000,802330,-0.04,10
107/06/06,1.55,1.55,1.49,1.55,660000,1016950,+0.04,10
107/06/07,1.63,1.63,1.42,1.42,206000,319110,-0.13,14
107/06/08,1.43,1.43,1.40,1.40,116000,165580,-0.02,7
107/06/11,1.42,1.42,1.25,1.25,193000,264690,-0.15,13
107/06/12,1.22,1.31,1.17,1.21,275000,342650,-0.04,13
107/06/13,1.22,1.25,1.11,1.11,340000,416180,-0.10,22
107/06/14,1.17,1.17,1.10,1.11,239000,269610,0.00,10
107/06/15,1.12,1.13,1.11,1.13,8000,9010,+0.02,3
107/06/19,1.06,1.06,0.93,0.93,251000,246050,-0.20,11
107/06/20,0.85,0.93,0.85,0.93,156000,143530,0.00,6
107/06/21,0.97,1.02,0.94,1.02,544000,529780,+0.09,6
107/06/22,0.95,0.95,0.90,0.90,544000,504280,-0.12,11
107/06/25,0.89,0.89,0.89,0.89,100000,89000,-0.01,1
107/06/26,0.77,0.80,0.77,0.80,47000,37000,-0.09,4
107/06/27,---,---,---,---,0,0,---,0
107/06/28,0.82,0.82,0.81,0.81,130000,106300,+0.02,3
107/06/29,0.82,0.82,0.79,0.80,230000,186800,-0.01,4
107/07/02,0.85,0.85,0.83,0.83,62000,52000,+0.03,4
107/07/03,0.84,0.84,0.80,0.80,207000,171060,-0.03,8
107/07/04,0.79,0.79,0.68,0.68,59000,43900,-0.12,7
107/07/05,0.64,0.64,0.64,0.64,28000,17920,-0.04,2
107/07/06,0.62,0.62,0.53,0.53,90000,52300,-0.11,5
107/07/09,0.59,0.73,0.59,0.73,420000,260850,+0.20,8
107/07/10,0.69,0.78,0.67,0.78,709000,516240,+0.05,16
107/07/11,0.72,0.95,0.72,0.91,1435000,1270540,+0.13,23
107/07/12,0.87,0.99,0.86,0.99,1825000,1714860,+0.08,40
107/07/13,1.02,1.03,0.99,1.02,716000,714500,+0.03,25
107/07/16,1.02,1.05,1.01,1.01,329000,335760,-0.01,11
107/07/17,1.08,1.08,0.94,0.96,351000,359000,-0.05,10
107/07/18,0.95,0.95,0.83,0.84,333000,300930,-0.12,14
107/07/19,0.93,0.93,0.91,0.91,81000,74970,+0.07,2
107/07/20,0.91,0.91,0.85,0.85,72000,65100,-0.06,3
107/07/23,0.86,0.86,0.77,0.78,155000,127600,-0.07,6
107/07/24,0.80,0.81,0.80,0.81,620000,502000,+0.03,7
107/07/25,0.88,0.89,0.84,0.84,625000,545400,+0.03,6
107/07/26,0.83,0.83,0.82,0.82,810000,664300,-0.02,9
107/07/27,0.85,0.85,0.76,0.76,902000,739100,-0.06,11
107/07/30,0.75,0.75,0.70,0.70,127000,94750,-0.06,3
107/07/31,0.76,0.82,0.76,0.80,206000,166560,+0.10,3
107/08/01,0.82,0.85,0.82,0.85,206000,173490,+0.05,8
107/08/02,0.82,0.82,0.80,0.80,40000,32400,-0.05,2
107/08/03,0.81,0.85,0.81,0.84,396000,331540,+0.04,9
107/08/06,0.83,0.89,0.82,0.87,912000,787110,+0.03,17
107/08/07,0.84,0.84,0.79,0.79,561000,460600,-0.08,10
107/08/08,0.72,0.72,0.70,0.70,225000,160650,-0.09,5
107/08/09,0.72,0.72,0.69,0.70,322000,226460,0.00,9
107/08/10,0.71,0.74,0.69,0.71,322000,231060,+0.01,10
107/08/13,0.57,0.57,0.50,0.50,250000,134300,-0.21,7
107/08/14,0.55,0.56,0.55,0.56,200000,111000,+0.06,3
107/08/15,0.51,0.51,0.51,0.51,210000,107100,-0.05,3
107/08/16,0.50,0.54,0.50,0.54,101000,50540,+0.03,2
107/08/17,0.59,0.59,0.58,0.58,200000,117000,+0.04,3
107/08/20,0.57,0.57,0.53,0.53,200000,110000,-0.05,8
107/08/21,0.56,0.56,0.56,0.56,153000,85680,+0.03,2
107/08/22,0.55,0.55,0.55,0.55,100000,55000,-0.01,1
107/08/23,0.50,0.50,0.50,0.50,100000,50000,-0.05,1
107/08/24,0.47,0.47,0.46,0.46,70000,32700,-0.04,3
107/08/27,0.45,0.45,0.45,0.45,4000,1800,-0.01,1
107/08/28,0.47,0.47,0.47,0.47,4000,1880,+0.02,1
107/08/29,0.48,0.48,0.48,0.48,200000,96000,+0.01,4
107/08/30,0.51,0.52,0.51,0.52,200000,102040,+0.04,3
107/08/31,---,---,---,---,0,0,---,0
107/09/03,0.47,0.47,0.47,0.47,30000,14100,-0.05,1
107/09/04,---,---,---,---,0,0,---,0
107/09/05,---,---,---,---,0,0,---,0
107/09/06,---,---,---,---,0,0,---,0
107/09/07,0.38,0.38,0.38,0.38,30000,11400,-0.06,1
107/09/10,0.33,0.33,0.33,0.33,240000,79200,-0.05,3
107/09/11,---,---,---,---,0,0,---,0
107/09/12,0.34,0.36,0.32,0.32,300000,102000,-0.02,3
107/09/13,0.36,0.36,0.35,0.35,300000,106000,+0.03,3
107/09/14,0.38,0.39,0.38,0.39,297000,114860,+0.04,4
107/09/17,0.35,0.36,0.35,0.35,297000,104950,-0.04,7
107/09/18,0.37,0.37,0.32,0.32,200000,69000,-0.03,3
107/09/19,0.39,0.40,0.39,0.39,300000,118000,+0.07,12
107/09/20,0.32,0.32,0.32,0.32,140000,44800,-0.07,6
107/09/21,---,---,---,---,0,0,---,0
107/09/25,---,---,---,---,0,0,---,0
107/09/26,0.23,0.23,0.23,0.23,431000,99130,-0.03,5
