107/04/18,19.84,19.85,19.65,19.65,1121000,22137100,-0.35,243
107/04/19,19.70,19.70,19.56,19.58,457000,8961310,-0.07,36
107/04/20,19.81,19.87,19.79,19.84,758000,15037320,0.26,193
107/04/23,19.94,19.99,19.88,19.99,513000,10236220,0.15,105
107/04/24,20.00,20.20,20.00,20.17,862000,17339130,0.18,162
107/04/25,20.34,20.37,20.24,20.28,455000,9233950,0.11,54
107/04/26,20.17,20.45,20.17,20.45,485000,9857910,0.17,37
107/04/27,20.35,20.42,20.33,20.39,447000,9109150,-0.06,32
107/04/30,20.36,20.37,20.20,20.21,362000,7337290,-0.18,27
107/05/02,20.20,20.22,20.15,20.22,530000,10702090,0.01,22
107/05/03,20.32,20.47,20.32,20.42,454000,9274480,0.20,19
107/05/04,20.42,20.46,20.39,20.41,538000,10984740,-0.01,28
107/05/07,20.28,20.33,20.27,20.29,454000,9214450,-0.12,23
107/05/08,20.26,20.26,20.12,20.16,451000,9091960,-0.13,21
107/05/09,20.09,20.13,20.02,20.05,430000,8624810,-0.11,19
107/05/10,19.97,19.97,19.94,19.96,413000,8241810,-0.09,22
107/05/11,19.85,19.85,19.77,19.77,417000,8250560,-0.19,28
107/05/14,19.67,19.69,19.55,19.55,475000,9309160,-0.22,42
107/05/15,19.58,19.71,19.58,19.70,525000,10316660,0.15,67
107/05/16,19.67,19.71,19.66,19.70,411000,8086510,0.00,32
107/05/17,19.68,19.74,19.68,19.74,418000,8231480,0.04,23
107/05/18,19.71,19.76,19.68,19.75,389000,7683380,0.01,15
107/05/21,19.66,19.66,19.51,19.55,420000,8205660,-0.20,21
107/05/22,19.49,19.57,19.48,19.57,396000,7742070,0.02,14
107/05/23,19.54,19.67,19.54,19.64,430000,8434510,0.07,23
107/05/24,19.63,19.63,19.59,19.60,390000,7642710,-0.04,8
107/05/25,19.58,19.58,19.52,19.58,402000,7851280,-0.02,11
107/05/28,19.52,19.55,19.50,19.50,544000,10618680,-0.08,14
107/05/29,19.51,19.63,19.51,19.61,482000,9434100,0.11,22
107/05/30,19.70,19.84,19.70,19.80,524000,10377260,0.19,24
107/05/31,19.68,19.73,19.67,19.69,395000,7781320,-0.11,34
107/06/01,19.58,19.62,19.56,19.56,412000,8069070,-0.13,34
107/06/04,19.39,19.39,19.24,19.24,246000,4749560,-0.32,22
107/06/05,19.23,19.28,19.21,19.25,708000,13624210,0.01,46
107/06/06,19.18,19.18,19.01,19.01,455000,8665700,-0.24,37
107/06/07,18.97,19.04,18.97,19.02,431000,8201640,0.01,41
107/06/08,19.02,19.13,19.02,19.12,582000,11127820,0.10,26
107/06/11,19.05,19.15,19.05,19.10,409000,7814160,-0.02,27
107/06/12,19.14,19.21,19.10,19.13,411000,7881210,0.03,35
107/06/13,19.12,19.12,19.08,19.08,428000,8174610,-0.05,27
107/06/14,19.19,19.28,19.18,19.28,541000,10407000,0.20,44
