106/09/25,14.40,15.20,14.40,15.20,71000,1037200,+1.30,10
106/09/26,14.50,14.50,14.00,14.00,13000,186000,-1.20,4
106/09/27,13.10,13.10,13.10,13.10,30000,393000,-0.90,1
106/09/28,13.00,13.00,13.00,13.00,3000,39000,-0.10,2
106/09/29,13.80,13.80,13.80,13.80,8000,110400,+0.80,1
106/09/30,13.90,14.30,13.90,14.20,48000,675200,+0.40,6
106/10/02,---,---,---,---,0,0,---,0
106/10/03,13.50,13.50,13.50,13.50,20000,270000,-0.70,1
106/10/05,---,---,---,---,0,0,---,0
106/10/06,---,---,---,---,0,0,---,0
106/10/11,---,---,---,---,0,0,---,0
106/10/12,14.20,14.20,14.20,14.20,2000,28400,+0.50,1
106/10/13,14.50,14.80,14.50,14.60,86000,1264000,+0.40,5
106/10/16,15.40,15.50,15.40,15.40,8000,123300,+0.80,3
106/10/17,15.00,15.00,15.00,15.00,7000,105000,-0.40,2
106/10/18,15.70,15.80,15.30,15.80,24000,375200,+0.80,5
106/10/19,15.70,15.80,15.70,15.80,19000,298500,0.00,3
106/10/20,15.80,15.80,15.80,15.80,2000,31600,0.00,1
106/10/23,16.60,16.60,16.30,16.40,8000,131500,+0.60,3
106/10/24,16.40,16.40,16.40,16.40,10000,164000,0.00,2
106/10/25,---,---,---,---,0,0,---,0
106/10/26,17.10,17.10,17.00,17.00,6000,102500,+0.50,2
106/10/27,17.30,17.40,17.30,17.30,6000,104000,+0.30,3
106/10/30,---,---,---,---,0,0,---,0
106/10/31,---,---,---,---,0,0,---,0
106/11/01,---,---,---,---,0,0,---,0
106/11/02,17.00,17.00,16.50,16.50,18000,301600,-0.30,6
106/11/03,16.00,16.00,16.00,16.00,2000,32000,-0.50,1
106/11/06,---,---,---,---,0,0,---,0
106/11/07,---,---,---,---,0,0,---,0
106/11/08,16.90,17.20,16.90,17.20,20000,340500,+1.10,3
106/11/09,17.00,17.00,16.00,16.00,12000,196500,-1.20,3
106/11/10,15.90,15.90,15.90,15.90,21000,333900,-0.10,2
106/11/13,16.70,16.90,16.70,16.90,18000,302100,+1.00,3
106/11/14,---,---,---,---,0,0,---,0
106/11/15,16.10,17.00,16.10,16.70,41000,680900,+0.10,5
106/11/16,---,---,---,---,0,0,---,0
106/11/17,16.40,16.40,16.40,16.40,21000,344400,-0.30,1
106/11/20,---,---,---,---,0,0,---,0
106/11/21,15.80,15.80,15.80,15.80,15000,237000,-0.20,1
106/11/22,16.50,16.70,16.50,16.70,29000,482000,+0.90,5
106/11/23,16.80,16.80,16.80,16.80,28000,470400,+0.10,1
106/11/24,---,---,---,---,0,0,---,0
106/11/27,18.20,18.20,18.20,18.20,2000,36400,+1.40,1
106/11/28,17.60,17.60,17.20,17.60,8000,139700,-0.60,6
106/11/29,17.70,17.70,17.70,17.70,6000,106200,+0.10,1
106/11/30,---,---,---,---,0,0,---,0
106/12/01,---,---,---,---,0,0,---,0
106/12/04,---,---,---,---,0,0,---,0
106/12/05,---,---,---,---,0,0,---,0
106/12/06,---,---,---,---,0,0,---,0
106/12/07,16.00,16.00,16.00,16.00,4000,64000,-0.50,1
106/12/08,---,---,---,---,0,0,---,0
106/12/11,17.10,17.10,17.10,17.10,7000,119700,+1.10,1
106/12/12,---,---,---,---,0,0,---,0
106/12/13,---,---,---,---,0,0,---,0
106/12/14,17.50,17.50,17.50,17.50,7000,122500,+0.40,1
106/12/15,---,---,---,---,0,0,---,0
106/12/18,---,---,---,---,0,0,---,0
106/12/19,---,---,---,---,0,0,---,0
106/12/20,---,---,---,---,0,0,---,0
106/12/21,---,---,---,---,0,0,---,0
106/12/22,---,---,---,---,0,0,---,0
106/12/25,---,---,---,---,0,0,---,0
106/12/26,---,---,---,---,0,0,---,0
106/12/27,---,---,---,---,0,0,---,0
106/12/28,---,---,---,---,0,0,---,0
106/12/29,---,---,---,---,0,0,---,0
107/01/02,---,---,---,---,0,0,---,0
107/01/03,---,---,---,---,0,0,---,0
107/01/04,---,---,---,---,0,0,---,0
107/01/05,---,---,---,---,0,0,---,0
107/01/08,---,---,---,---,0,0,---,0
107/01/09,---,---,---,---,0,0,---,0
107/01/10,16.00,16.00,16.00,16.00,1000,16000,-0.10,1
107/01/11,---,---,---,---,0,0,---,0
107/01/12,---,---,---,---,0,0,---,0
107/01/15,---,---,---,---,0,0,---,0
107/01/16,---,---,---,---,0,0,---,0
107/01/17,---,---,---,---,0,0,---,0
107/01/18,---,---,---,---,0,0,---,0
107/01/19,---,---,---,---,0,0,---,0
