107/11/06,1.84,1.89,1.84,1.89,27000,50150,-0.10,5
107/11/07,1.67,1.72,1.67,1.72,19000,31930,-0.17,2
107/11/08,1.39,1.53,1.39,1.53,268000,397800,-0.19,15
107/11/09,1.54,1.54,1.47,1.50,223000,341020,-0.03,7
107/11/12,1.43,1.43,1.40,1.40,73000,102990,-0.10,4
107/11/13,1.46,1.46,1.35,1.35,9000,12530,-0.05,3
107/11/14,1.31,1.42,1.31,1.42,2506000,3482420,+0.07,48
107/11/15,1.42,1.46,1.35,1.35,3666000,5166770,-0.07,73
107/11/16,1.33,1.39,1.31,1.38,1749000,2352000,+0.03,22
107/11/19,1.39,1.39,1.37,1.38,570000,788390,0.00,6
107/11/20,1.37,1.38,1.34,1.34,117000,159920,-0.04,5
107/11/21,1.35,1.35,1.15,1.19,529000,654810,-0.15,25
107/11/22,1.19,1.31,1.19,1.31,156000,197860,+0.12,15
107/11/23,1.22,1.35,1.22,1.35,310000,391910,+0.04,17
107/11/26,1.27,1.27,1.25,1.25,154000,195020,-0.10,3
107/11/27,1.16,1.23,1.13,1.15,323000,375830,-0.10,11
107/11/28,1.15,1.18,1.10,1.14,121000,138650,-0.01,6
107/11/29,1.05,1.07,1.00,1.04,137000,142070,-0.10,5
107/11/30,0.98,0.99,0.97,0.98,194000,189960,-0.06,7
107/12/03,0.83,0.83,0.83,0.83,36000,29880,-0.15,1
107/12/04,---,---,---,---,0,0,---,0
107/12/05,0.99,0.99,0.99,0.99,91000,90090,+0.08,1
107/12/06,0.93,1.09,0.93,1.09,164000,164200,+0.10,2
107/12/07,0.97,1.02,0.96,1.02,91000,88690,-0.07,3
107/12/10,1.00,1.00,1.00,1.00,26000,26000,-0.02,1
107/12/11,---,---,---,---,0,0,---,0
107/12/12,---,---,---,---,0,0,---,0
107/12/13,---,---,---,---,0,0,---,0
107/12/14,---,---,---,---,0,0,---,0
107/12/17,---,---,---,---,0,0,---,0
107/12/18,---,---,---,---,0,0,---,0
107/12/19,1.24,1.38,1.24,1.34,153000,200580,+0.19,9
107/12/20,1.39,1.50,1.39,1.50,107000,154720,+0.16,6
107/12/21,1.36,1.45,1.34,1.34,668000,947620,-0.16,36
107/12/22,1.38,1.43,1.38,1.39,456000,637560,+0.05,13
107/12/24,1.36,1.45,1.36,1.45,425000,607040,+0.06,25
107/12/25,1.49,1.52,1.46,1.47,690000,1020590,+0.02,22
107/12/26,1.38,1.52,1.38,1.52,347000,512140,+0.05,21
107/12/27,1.41,1.41,1.35,1.39,273000,378870,-0.13,6
107/12/28,1.40,1.43,1.40,1.43,299000,424570,+0.04,2
108/01/02,1.39,1.39,1.38,1.39,17000,23560,-0.04,5
108/01/03,1.47,1.54,1.44,1.54,705000,1035560,+0.15,17
108/01/04,1.74,1.77,1.56,1.59,426000,742010,+0.05,15
108/01/07,1.42,1.45,1.38,1.38,94000,135060,-0.21,10
108/01/08,1.39,1.42,1.38,1.38,164000,230610,0.00,5
108/01/09,1.39,1.39,1.33,1.34,337000,457310,-0.04,6
108/01/10,1.28,1.34,1.28,1.33,406000,533820,-0.01,15
108/01/11,1.30,1.35,1.30,1.35,324000,426040,+0.02,9
108/01/14,1.40,1.55,1.40,1.55,690000,1017680,+0.20,21
108/01/15,1.44,1.48,1.42,1.46,579000,833400,-0.09,10
108/01/16,1.41,1.41,1.39,1.39,315000,440150,-0.07,4
108/01/17,1.34,1.43,1.34,1.43,507000,688410,+0.04,9
108/01/18,1.44,1.50,1.44,1.44,450000,661710,+0.01,14
108/01/21,1.35,1.37,1.35,1.37,178000,242520,-0.07,4
108/01/22,1.32,1.33,1.32,1.33,21000,27920,-0.04,2
108/01/23,1.35,1.38,1.35,1.38,501000,685740,+0.05,11
108/01/24,1.32,1.33,1.31,1.32,484000,639590,-0.06,7
108/01/25,1.21,1.21,1.12,1.13,123000,146960,-0.19,3
108/01/28,1.12,1.12,1.12,1.12,250000,280000,-0.01,3
108/01/29,1.19,1.22,1.18,1.20,1047000,1251630,+0.08,7
108/01/30,1.15,1.16,1.14,1.16,213000,243510,-0.04,4
108/02/11,1.11,1.11,1.05,1.07,366000,396610,-0.09,10
108/02/12,1.02,1.02,0.96,0.96,348000,344880,-0.11,4
108/02/13,---,---,---,---,0,0,---,0
108/02/14,---,---,---,---,0,0,---,0
108/02/15,0.66,0.70,0.66,0.70,173000,117020,-0.04,3
108/02/18,0.62,0.64,0.61,0.64,188000,116640,-0.06,4
108/02/19,0.63,0.65,0.63,0.65,43000,27490,+0.01,3
108/02/20,0.57,0.60,0.57,0.60,127000,73110,-0.05,3
108/02/21,0.61,0.65,0.61,0.62,232000,144770,+0.02,7
108/02/22,0.61,0.63,0.57,0.63,153000,94030,+0.01,8
108/02/25,0.66,0.70,0.66,0.66,450000,308320,+0.03,8
108/02/26,0.62,0.62,0.57,0.61,405000,247010,-0.05,8
108/02/27,0.56,0.60,0.54,0.54,82000,46330,-0.07,10
108/03/04,0.52,0.57,0.52,0.57,51000,27920,+0.03,6
