107/07/05,1.11,1.12,1.03,1.03,116000,122800,-0.18,11
107/07/06,1.03,1.03,0.94,1.01,820000,808510,-0.02,43
107/07/09,0.91,1.05,0.91,1.00,389000,385700,-0.01,16
107/07/10,0.99,0.99,0.85,0.86,1194000,1091820,-0.14,45
107/07/11,0.87,0.87,0.72,0.72,1659000,1270280,-0.14,50
107/07/12,0.76,0.76,0.70,0.70,1161000,858280,-0.02,29
107/07/13,0.74,0.75,0.71,0.73,906000,661420,+0.03,22
107/07/16,0.73,0.74,0.72,0.72,380000,277540,-0.01,10
107/07/17,0.71,0.75,0.70,0.70,249000,178760,-0.02,13
107/07/18,0.71,0.71,0.56,0.56,1197000,704250,-0.14,27
107/07/19,0.59,0.59,0.53,0.53,528000,296620,-0.03,12
107/07/20,0.53,0.60,0.53,0.58,746000,415120,+0.05,23
107/07/23,0.60,0.60,0.41,0.45,2276000,1068530,-0.13,46
107/07/24,0.46,0.50,0.45,0.50,950000,441960,+0.05,26
107/07/25,0.49,0.57,0.49,0.56,467000,253320,+0.06,13
107/07/26,0.58,0.60,0.55,0.56,1919000,1138470,0.00,33
107/07/27,0.57,0.59,0.55,0.59,455000,263800,+0.03,14
107/07/30,0.60,0.60,0.54,0.54,340000,196700,-0.05,16
107/07/31,0.54,0.54,0.51,0.51,144000,75660,-0.03,5
107/08/01,0.58,0.67,0.58,0.64,1136000,705570,+0.13,12
107/08/02,0.62,0.62,0.58,0.58,1812000,1097880,-0.06,18
107/08/03,0.60,0.64,0.59,0.61,526000,317720,+0.03,12
107/08/06,0.54,0.55,0.48,0.48,297000,157320,-0.13,17
107/08/07,0.50,0.50,0.44,0.44,170000,77000,-0.04,9
107/08/08,0.46,0.47,0.45,0.45,206000,96070,+0.01,8
107/08/09,0.43,0.43,0.41,0.41,541000,225450,-0.04,9
107/08/10,0.42,0.43,0.42,0.43,205000,88100,+0.02,2
107/08/13,0.37,0.37,0.35,0.35,351000,125870,-0.08,4
107/08/14,0.38,0.40,0.38,0.40,2000,780,+0.05,2
107/08/15,0.40,0.40,0.38,0.38,40000,15600,-0.02,4
107/08/16,0.36,0.38,0.35,0.35,120000,44050,-0.03,6
107/08/17,0.36,0.36,0.36,0.36,3000,1080,+0.01,1
107/08/20,0.34,0.34,0.34,0.34,20000,6800,-0.02,1
107/08/21,0.37,0.42,0.37,0.39,480000,197340,+0.05,16
107/08/22,0.37,0.38,0.36,0.36,450000,166150,-0.03,9
107/08/23,0.37,0.37,0.36,0.36,34000,12350,0.00,3
107/08/24,0.33,0.33,0.31,0.31,115000,37850,-0.05,4
107/08/27,---,---,---,---,0,0,---,0
107/08/28,---,---,---,---,0,0,---,0
107/08/29,---,---,---,---,0,0,---,0
107/08/30,0.24,0.25,0.24,0.25,21000,5240,+0.03,2
107/08/31,0.25,0.25,0.25,0.25,100000,25000,0.00,1
107/09/03,0.19,0.19,0.19,0.19,300000,57000,-0.06,1
107/09/04,0.19,0.19,0.19,0.19,40000,7600,0.00,3
107/09/05,0.17,0.17,0.17,0.17,40000,6800,-0.02,2
107/09/06,0.15,0.15,0.12,0.12,326000,39840,-0.05,3
107/09/07,0.07,0.07,0.07,0.07,9000,630,-0.05,1
107/09/10,0.09,0.09,0.08,0.08,760000,64800,+0.01,8
107/09/11,---,---,---,---,0,0,---,0
107/09/12,---,---,---,---,0,0,---,0
107/09/13,0.09,0.09,0.09,0.09,20000,1800,+0.01,1
107/09/14,---,---,---,---,0,0,---,0
107/09/17,---,---,---,---,0,0,---,0
107/09/18,---,---,---,---,0,0,---,0
107/09/19,---,---,---,---,0,0,---,0
107/09/20,---,---,---,---,0,0,---,0
107/09/21,---,---,---,---,0,0,---,0
107/09/25,0.04,0.04,0.04,0.04,30000,1200,-0.02,1
107/09/26,---,---,---,---,0,0,---,0
107/09/27,---,---,---,---,0,0,---,0
107/09/28,---,---,---,---,0,0,---,0
107/10/01,0.07,0.07,0.07,0.07,20000,1400,+0.02,1
107/10/02,0.09,0.10,0.09,0.09,1040000,93900,+0.02,12
107/10/03,0.08,0.10,0.08,0.10,120000,9800,+0.01,3
107/10/04,0.10,0.11,0.10,0.11,1020000,108100,+0.01,6
107/10/05,0.11,0.11,0.08,0.10,220000,21200,-0.01,8
107/10/08,0.10,0.10,0.08,0.08,130000,11750,-0.02,6
107/10/09,0.07,0.07,0.06,0.06,110000,7200,-0.02,3
107/10/11,0.05,0.05,0.04,0.05,470000,19400,-0.01,7
107/10/12,0.05,0.05,0.04,0.04,70000,3000,-0.01,3
107/10/15,0.04,0.04,0.04,0.04,40000,1600,0.00,1
107/10/16,0.04,0.04,0.04,0.04,300000,12000,0.00,6
107/10/17,---,---,---,---,0,0,---,0
