107/09/20,1.18,1.18,1.18,1.18,8000,9440,0.00,1
107/09/21,---,---,---,---,0,0,---,0
107/09/25,1.22,1.33,1.22,1.33,108000,142760,+0.03,2
107/09/26,1.19,1.23,1.19,1.23,112000,133620,-0.10,4
107/09/27,1.27,1.29,1.25,1.29,151000,192250,+0.06,5
107/09/28,1.20,1.25,1.18,1.20,657000,798800,-0.09,13
107/10/01,1.15,1.19,1.12,1.19,638000,737390,-0.01,12
107/10/02,1.20,1.21,1.15,1.15,337000,406240,-0.04,8
107/10/03,1.11,1.11,1.11,1.11,182000,202020,-0.04,5
107/10/04,---,---,---,---,0,0,---,0
107/10/05,0.84,0.84,0.82,0.82,15000,12400,-0.09,2
107/10/08,0.74,0.74,0.74,0.74,6000,4440,-0.08,1
107/10/09,0.70,0.70,0.70,0.70,43000,30100,-0.04,1
107/10/11,0.47,0.47,0.47,0.47,49000,23030,-0.23,2
107/10/12,---,---,---,---,0,0,---,0
107/10/15,---,---,---,---,0,0,---,0
107/10/16,0.65,0.69,0.65,0.69,227000,155070,+0.13,4
107/10/17,0.63,0.64,0.63,0.63,227000,145130,-0.06,13
107/10/18,---,---,---,---,0,0,---,0
107/10/19,---,---,---,---,0,0,---,0
107/10/22,0.48,0.54,0.48,0.54,103000,52440,+0.05,4
107/10/23,0.49,0.51,0.49,0.50,103000,50770,-0.04,6
107/10/24,---,---,---,---,0,0,---,0
107/10/25,---,---,---,---,0,0,---,0
107/10/26,---,---,---,---,0,0,---,0
107/10/29,---,---,---,---,0,0,---,0
107/10/30,---,---,---,---,0,0,---,0
107/10/31,---,---,---,---,0,0,---,0
107/11/01,0.42,0.42,0.42,0.42,29000,12180,+0.08,1
107/11/02,0.38,0.40,0.38,0.40,40000,15420,-0.02,2
107/11/05,0.37,0.39,0.37,0.39,11000,4150,-0.01,2
107/11/06,---,---,---,---,0,0,---,0
107/11/07,---,---,---,---,0,0,---,0
107/11/08,---,---,---,---,0,0,---,0
107/11/09,---,---,---,---,0,0,---,0
107/11/12,---,---,---,---,0,0,---,0
107/11/13,0.30,0.30,0.30,0.30,24000,7200,-0.05,1
107/11/14,0.37,0.37,0.37,0.37,24000,8880,+0.07,1
107/11/15,---,---,---,---,0,0,---,0
107/11/16,---,---,---,---,0,0,---,0
107/11/19,---,---,---,---,0,0,---,0
107/11/20,---,---,---,---,0,0,---,0
107/11/21,---,---,---,---,0,0,---,0
107/11/22,0.54,0.54,0.54,0.54,12000,6480,+0.04,1
107/11/23,0.59,0.67,0.59,0.63,145000,91530,+0.09,6
