108/08/27,0.93,0.93,0.93,0.93,100000,93000,0.00,1
108/08/28,1.02,1.03,1.02,1.03,115000,118300,+0.10,2
108/08/29,1.08,1.08,1.00,1.03,163000,164890,0.00,6
108/08/30,1.07,1.07,0.98,0.98,22000,23090,-0.05,3
108/09/02,1.01,1.05,1.01,1.05,29000,29890,+0.07,3
108/09/03,1.17,1.26,1.17,1.26,18000,21330,+0.21,2
108/09/04,1.29,1.29,1.23,1.28,58000,72930,+0.02,7
108/09/05,1.38,1.39,1.24,1.24,25000,33170,-0.04,6
108/09/06,1.21,1.21,1.13,1.14,56000,65710,-0.10,5
108/09/09,1.20,1.20,1.16,1.16,70000,82720,+0.02,7
108/09/10,1.10,1.10,1.10,1.10,3000,3300,-0.06,2
108/09/11,1.15,1.17,1.15,1.17,6000,7000,+0.07,2
108/09/12,1.16,1.22,1.16,1.22,353000,416510,+0.05,9
108/09/16,1.18,1.18,1.09,1.10,415000,466500,-0.12,10
108/09/17,1.07,1.11,1.07,1.11,133000,145380,+0.01,3
108/09/18,1.10,1.14,1.10,1.14,130000,145610,+0.03,4
108/09/19,1.08,1.17,1.08,1.16,213000,238090,+0.02,8
108/09/20,1.14,1.20,1.13,1.20,79000,90190,+0.04,5
108/09/23,1.13,1.14,1.12,1.12,41000,46210,-0.08,6
108/09/24,1.10,1.10,1.10,1.10,18000,19800,-0.02,3
108/09/25,1.16,1.20,1.16,1.20,147000,171720,+0.10,9
108/09/26,1.18,1.18,1.16,1.16,115000,133600,-0.04,4
108/09/27,1.09,1.09,0.95,0.95,419000,422430,-0.21,18
108/10/01,0.94,0.99,0.94,0.99,111000,108420,+0.04,7
108/10/02,0.96,0.98,0.96,0.98,91000,87760,-0.01,2
108/10/03,0.93,0.99,0.93,0.99,52000,49560,+0.01,3
108/10/04,1.05,1.09,1.03,1.03,384000,409230,+0.04,13
108/10/07,1.00,1.01,0.94,0.94,330000,329700,-0.09,9
108/10/08,0.99,1.07,0.98,1.01,207000,208580,+0.07,10
108/10/09,1.04,1.04,1.00,1.00,166000,170340,-0.01,6
108/10/14,1.00,1.02,0.99,0.99,195000,194380,-0.01,5
108/10/15,1.08,1.17,1.05,1.05,680000,752250,+0.06,29
108/10/16,1.07,1.07,0.99,1.00,537000,554300,-0.05,11
108/10/17,1.05,1.10,1.02,1.10,464000,487210,+0.10,25
108/10/18,1.06,1.11,1.03,1.10,667000,716710,0.00,22
108/10/21,1.05,1.13,1.03,1.13,475000,522190,+0.03,16
108/10/22,1.19,1.19,1.10,1.10,48000,54290,-0.03,8
108/10/23,1.09,1.19,1.09,1.18,493000,553640,+0.08,21
108/10/24,1.32,1.35,1.24,1.31,742000,968680,+0.13,34
