109/05/05,0.87,0.87,0.87,0.87,100000,87000,+0.07,1
109/05/06,1.11,1.14,1.00,1.00,192000,207120,+0.13,10
109/05/07,0.99,1.04,0.98,1.01,135000,135720,+0.01,12
109/05/08,1.06,1.08,1.03,1.03,128000,134540,+0.02,10
109/05/11,1.01,1.15,1.01,1.11,1053000,1163790,+0.08,28
109/05/12,1.12,1.24,1.11,1.24,1171000,1368560,+0.13,24
109/05/13,1.88,1.88,1.88,1.88,60000,112800,+0.64,3
109/05/14,2.13,2.60,1.95,2.18,386000,811710,+0.30,37
109/05/15,2.30,2.90,2.30,2.86,222000,556940,+0.68,32
109/05/18,3.00,3.09,2.48,2.61,226000,627830,-0.25,28
109/05/19,2.63,2.63,2.02,2.04,257000,551120,-0.57,29
109/05/20,2.15,2.50,2.11,2.36,200000,459100,+0.32,36
109/05/21,2.30,2.30,2.12,2.28,174000,388120,-0.08,10
109/05/22,2.39,2.60,2.33,2.56,63000,153220,+0.28,11
109/05/25,2.37,2.37,2.30,2.30,20000,46700,-0.26,2
109/05/26,---,---,---,---,0,0,---,0
109/05/27,2.02,2.02,1.88,1.99,22000,43300,-0.31,3
109/05/28,2.14,2.61,2.14,2.54,64000,151860,+0.55,10
109/05/29,2.29,2.89,2.29,2.67,50000,126600,+0.13,11
109/06/01,2.94,3.15,2.63,3.12,77000,226570,+0.45,16
109/06/02,2.91,3.25,2.47,3.25,51000,135850,+0.13,10
109/06/03,2.79,2.90,2.79,2.82,49000,137780,-0.43,9
109/06/04,2.73,2.75,2.57,2.57,51000,136040,-0.25,7
109/06/05,2.49,2.49,2.49,2.49,1000,2490,-0.08,1
109/06/08,2.55,2.55,2.55,2.55,1000,2550,+0.06,1
109/06/09,2.40,2.42,2.40,2.42,20000,48200,-0.13,2
109/06/10,2.18,2.18,2.17,2.17,41000,89370,-0.25,2
109/06/11,2.15,2.15,2.15,2.15,37000,79550,-0.02,1
109/06/12,2.15,2.15,2.15,2.15,5000,10750,0.00,1
109/06/15,2.25,2.30,2.14,2.14,78000,177400,-0.01,8
109/06/16,2.26,2.26,2.26,2.26,1000,2260,+0.12,1
109/06/17,2.42,2.45,2.42,2.45,11000,26920,+0.19,2
109/06/18,2.40,2.40,2.40,2.40,10000,24000,-0.05,1
109/06/19,2.14,2.14,2.14,2.14,2000,4280,-0.26,1
109/06/22,2.19,2.19,2.10,2.10,12000,25740,-0.04,2
109/06/23,2.32,2.35,2.32,2.35,4000,9370,+0.25,2
109/06/24,---,---,---,---,0,0,---,0
109/06/29,---,---,---,---,0,0,---,0
109/06/30,2.10,2.10,2.10,2.10,10000,21000,-0.12,1
109/07/01,---,---,---,---,0,0,---,0
109/07/02,2.28,2.28,2.28,2.28,1000,2280,+0.11,1
109/07/03,2.11,2.11,2.11,2.11,30000,63300,-0.17,1
109/07/06,---,---,---,---,0,0,---,0
109/07/07,2.02,2.02,2.02,2.02,17000,34340,-0.14,1
109/07/08,---,---,---,---,0,0,---,0
109/07/09,---,---,---,---,0,0,---,0
109/07/10,---,---,---,---,0,0,---,0
109/07/13,---,---,---,---,0,0,---,0
109/07/14,---,---,---,---,0,0,---,0
109/07/15,1.50,1.50,1.46,1.47,56000,82160,+0.04,4
109/07/16,1.48,1.48,1.48,1.48,2000,2960,+0.01,1
109/07/17,---,---,---,---,0,0,---,0
109/07/20,1.34,1.50,1.34,1.50,63000,91910,+0.35,5
109/07/21,1.43,1.47,1.40,1.40,39000,55680,-0.10,7
109/07/22,1.44,1.44,1.37,1.37,80000,113300,-0.03,7
109/07/23,1.45,1.45,1.45,1.45,2000,2900,+0.08,1
109/07/24,1.41,1.41,1.39,1.40,20000,28130,-0.05,4
109/07/27,---,---,---,---,0,0,---,0
109/07/28,---,---,---,---,0,0,---,0
109/07/29,1.54,1.54,1.54,1.54,6000,9240,+0.14,1
109/07/30,1.56,1.56,1.56,1.56,8000,12480,+0.02,2
109/07/31,---,---,---,---,0,0,---,0
109/08/03,1.76,1.76,1.76,1.76,1000,1760,+0.20,1
109/08/04,---,---,---,---,0,0,---,0
109/08/05,---,---,---,---,0,0,---,0
109/08/06,---,---,---,---,0,0,---,0
109/08/07,---,---,---,---,0,0,---,0
109/08/10,---,---,---,---,0,0,---,0
109/08/11,---,---,---,---,0,0,---,0
109/08/12,---,---,---,---,0,0,---,0
109/08/13,1.03,1.03,1.00,1.00,35000,35150,-0.05,2
109/08/14,---,---,---,---,0,0,---,0
109/08/17,---,---,---,---,0,0,---,0
109/08/18,---,---,---,---,0,0,---,0
109/08/19,---,---,---,---,0,0,---,0
109/08/20,0.61,0.61,0.61,0.61,21000,12810,-0.30,1
109/08/21,---,---,---,---,0,0,---,0
109/08/24,---,---,---,---,0,0,---,0
109/08/25,---,---,---,---,0,0,---,0
109/08/26,---,---,---,---,0,0,---,0
109/08/27,---,---,---,---,0,0,---,0
109/08/28,---,---,---,---,0,0,---,0
109/08/31,---,---,---,---,0,0,---,0
109/09/01,---,---,---,---,0,0,---,0
109/09/02,---,---,---,---,0,0,---,0
109/09/03,---,---,---,---,0,0,---,0
109/09/04,0.53,0.53,0.53,0.53,13000,6890,-0.14,2
