109/05/13,---,---,---,---,0,0,---,0
109/05/14,1.06,1.06,0.90,0.90,26000,26600,-0.17,2
109/05/15,0.96,1.01,0.95,1.00,46000,45050,+0.10,5
109/05/18,1.08,1.09,1.07,1.08,251000,270830,+0.08,19
109/05/19,1.11,1.11,1.05,1.05,221000,237230,-0.03,12
109/05/20,1.08,1.08,1.02,1.02,211000,226270,-0.03,7
109/05/21,1.10,1.10,1.04,1.05,229000,244870,+0.03,12
109/05/22,1.03,1.09,1.01,1.06,322000,334320,+0.01,26
109/05/25,1.00,1.04,1.00,1.02,77000,78640,-0.04,6
109/05/26,1.09,1.17,1.08,1.10,536000,596910,+0.08,69
109/05/27,1.11,1.11,1.02,1.03,219000,231400,-0.07,19
109/05/28,1.03,1.08,1.03,1.06,83000,87220,+0.03,12
109/05/29,1.07,1.14,1.07,1.14,360000,403240,+0.08,33
109/06/01,1.20,1.30,1.18,1.26,905000,1133230,+0.12,86
109/06/02,1.26,1.26,1.18,1.19,708000,868680,-0.07,51
109/06/03,1.22,1.49,1.22,1.40,830000,1111460,+0.21,46
109/06/04,1.47,1.47,1.38,1.40,542000,767920,0.00,31
109/06/05,1.37,1.40,1.33,1.35,287000,388570,-0.05,14
109/06/08,1.37,1.37,1.17,1.17,171000,216410,-0.18,14
109/06/09,1.18,1.21,1.13,1.13,131000,152530,-0.04,7
109/06/10,1.14,1.16,1.13,1.13,33000,37540,0.00,6
109/06/11,1.14,1.14,1.03,1.03,117000,123780,-0.10,8
109/06/12,0.99,0.99,0.97,0.98,97000,95370,-0.05,8
109/06/15,1.02,1.02,1.01,1.01,41000,41450,+0.03,5
109/06/16,1.01,1.01,0.99,1.00,15000,15020,-0.01,4
109/06/17,1.02,1.17,1.02,1.17,38000,42700,+0.17,7
109/06/18,1.21,1.23,1.19,1.19,60000,72350,+0.02,9
109/06/19,1.21,1.21,1.15,1.18,257000,303170,-0.01,16
