108/08/02,1.97,1.97,1.97,1.97,7000,13790,+0.01,1
108/08/05,---,---,---,---,0,0,---,0
108/08/06,---,---,---,---,0,0,---,0
108/08/07,2.04,2.12,2.04,2.12,552000,1150550,+0.12,13
108/08/08,2.13,2.18,2.13,2.16,1099000,2361720,+0.04,21
108/08/12,2.21,2.30,2.20,2.20,714000,1598030,+0.04,16
108/08/13,2.16,2.18,2.14,2.18,310000,671880,-0.02,7
108/08/14,2.08,2.17,2.08,2.17,94000,203130,-0.01,5
108/08/15,2.25,2.25,2.25,2.25,65000,146250,+0.08,2
108/08/16,2.11,2.11,2.11,2.11,50000,105500,-0.14,1
108/08/19,1.94,1.94,1.94,1.94,15000,29100,-0.17,1
108/08/20,1.97,2.06,1.97,2.06,194000,394520,+0.12,8
108/08/21,2.04,2.04,2.01,2.04,194000,393640,-0.02,7
108/08/22,---,---,---,---,0,0,---,0
108/08/23,2.10,2.10,2.10,2.10,107000,224700,0.00,4
108/08/26,2.20,2.21,2.20,2.21,100000,220500,+0.11,3
108/08/27,---,---,---,---,0,0,---,0
108/08/28,2.09,2.09,2.09,2.09,1000,2090,-0.12,1
108/08/29,---,---,---,---,0,0,---,0
108/08/30,2.05,2.07,2.05,2.07,7000,14470,0.00,2
108/09/02,---,---,---,---,0,0,---,0
108/09/03,1.94,2.00,1.94,2.00,106000,207800,+0.01,5
108/09/04,1.94,1.95,1.93,1.94,84000,163020,-0.06,16
108/09/05,1.92,1.93,1.92,1.93,70000,134700,-0.01,3
108/09/06,1.83,1.84,1.83,1.84,30000,55000,-0.09,2
108/09/09,1.87,1.94,1.87,1.94,110000,210500,+0.10,4
108/09/10,1.95,2.03,1.95,2.03,179000,354170,+0.09,6
108/09/11,1.99,2.01,1.99,2.01,99000,197790,-0.02,6
108/09/12,1.92,1.93,1.92,1.93,30000,57700,-0.08,2
108/09/16,---,---,---,---,0,0,---,0
108/09/17,1.87,1.87,1.87,1.87,3000,5610,-0.06,1
