109/07/27,---,---,---,---,0,0,---,0
109/07/28,1.49,1.75,1.49,1.68,198000,327410,-0.05,16
109/07/29,1.62,1.74,1.61,1.70,283000,480360,+0.02,15
109/07/30,1.55,1.63,1.55,1.62,187000,293730,-0.08,9
109/07/31,1.59,1.64,1.57,1.62,125000,202220,0.00,5
109/08/03,1.69,1.73,1.69,1.69,124000,213920,+0.07,5
109/08/04,1.65,1.71,1.65,1.71,138000,230080,+0.02,10
109/08/05,1.63,1.63,1.52,1.53,35000,55740,-0.18,16
109/08/06,1.57,1.73,1.57,1.73,856000,1412790,+0.20,26
109/08/07,1.72,1.86,1.72,1.86,927000,1670940,+0.13,14
109/08/10,1.82,1.92,1.80,1.91,142000,259680,+0.05,7
109/08/11,1.80,1.80,1.77,1.79,36000,64080,-0.12,3
109/08/12,1.85,1.91,1.85,1.89,92000,174450,+0.10,27
109/08/13,1.77,1.77,1.76,1.77,140000,247150,-0.12,8
109/08/14,1.72,1.72,1.67,1.69,101000,172020,-0.08,17
109/08/17,1.70,1.72,1.70,1.72,100000,171230,+0.03,20
109/08/18,1.69,1.76,1.69,1.74,128000,221110,+0.02,6
109/08/19,1.69,1.69,1.65,1.67,283000,473670,-0.07,6
109/08/20,1.86,2.06,1.86,1.97,221000,431420,+0.30,12
109/08/21,1.83,1.83,1.80,1.80,42000,76650,-0.17,2
109/08/24,1.63,1.63,1.57,1.57,55000,88450,-0.23,2
109/08/25,1.47,1.47,1.47,1.47,2000,2940,-0.10,1
109/08/26,1.46,1.51,1.46,1.51,120000,177360,+0.04,6
109/08/27,1.44,1.47,1.43,1.47,164000,237120,-0.04,5
109/08/28,1.48,1.48,1.47,1.47,46000,67640,0.00,3
109/08/31,1.39,1.49,1.39,1.47,256000,371050,0.00,10
109/09/01,1.42,1.46,1.42,1.44,268000,385120,-0.03,7
109/09/02,1.42,1.45,1.42,1.44,112000,161760,0.00,6
109/09/03,1.38,1.38,1.38,1.38,90000,124200,-0.06,2
109/09/04,1.42,1.42,1.42,1.42,123000,174660,+0.04,8
109/09/07,1.17,1.30,1.16,1.30,245000,298100,-0.12,9
109/09/08,1.22,1.31,1.22,1.31,142000,180940,+0.01,4
109/09/09,1.34,1.37,1.34,1.37,15000,20250,+0.06,2
109/09/10,1.24,1.24,1.23,1.23,25000,30800,-0.14,2
109/09/11,1.25,1.28,1.25,1.28,42000,53580,+0.05,4
109/09/14,1.22,1.22,1.21,1.21,62000,75140,-0.07,3
109/09/15,1.19,1.24,1.19,1.24,521000,640540,+0.03,12
109/09/16,1.18,1.22,1.18,1.21,258000,308040,-0.03,8
109/09/17,1.22,1.24,1.22,1.24,335000,408820,+0.03,3
109/09/18,1.24,1.25,1.24,1.25,22000,27380,+0.01,2
109/09/21,1.25,1.29,1.25,1.29,152000,193900,+0.04,9
109/09/22,1.25,1.33,1.25,1.33,117000,149430,+0.04,4
109/09/23,1.28,1.28,1.26,1.26,47000,59760,-0.07,2
109/09/24,1.35,1.36,1.35,1.35,41000,55550,+0.09,3
109/09/25,1.39,1.43,1.39,1.43,96000,135070,+0.08,19
109/09/28,1.27,1.27,1.09,1.09,125000,150450,-0.34,6
109/09/29,0.99,1.15,0.99,1.15,180000,194650,+0.06,8
109/09/30,1.17,1.17,1.09,1.10,130000,146940,-0.05,5
109/10/05,1.11,1.13,1.11,1.13,92000,103250,+0.03,4
109/10/06,1.05,1.08,1.05,1.08,92000,97110,-0.05,3
109/10/07,1.08,1.08,1.08,1.08,7000,7560,0.00,1
109/10/08,1.01,1.01,1.01,1.01,7000,7070,-0.07,1
109/10/12,1.01,1.02,1.01,1.02,208000,210960,+0.01,5
109/10/13,0.91,0.96,0.90,0.96,349000,321660,-0.06,10
109/10/14,0.91,0.91,0.91,0.91,121000,110110,-0.05,2
109/10/15,0.90,0.94,0.90,0.93,124000,114590,+0.02,5
109/10/16,0.93,0.94,0.93,0.93,132000,123370,0.00,7
109/10/19,0.90,0.90,0.90,0.90,24000,21600,-0.03,3
109/10/20,0.91,0.91,0.91,0.91,16000,14560,+0.01,1
109/10/21,0.88,0.90,0.88,0.90,17000,15120,-0.01,2
109/10/22,0.90,0.90,0.90,0.90,17000,15300,0.00,1
109/10/23,0.92,0.95,0.92,0.95,21000,19710,+0.05,2
109/10/26,0.92,0.92,0.92,0.92,21000,19320,-0.03,2
109/10/27,0.97,0.97,0.97,0.97,15000,14550,+0.05,2
109/10/28,0.94,0.94,0.94,0.94,13000,12220,-0.03,1
109/10/29,0.97,0.97,0.94,0.94,16000,15280,0.00,2
109/10/30,0.94,0.96,0.94,0.95,39000,37160,+0.01,4
